Biceps D Eletrodo vermelho ao centro do biceps e verde ao final do biceps prox ao cotovelo - 18/03/2024 - teste1 - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
79,1.58,0.79,0
80,3.15,1.58,0
78,4.65,2.35,0
79,6.13,3.11,0
78,7.57,3.86,0
79,9.00,4.61,0
79,10.40,5.36,0
79,11.77,6.09,0
78,13.10,6.81,0
79,14.41,7.53,0
79,15.70,8.25,0
79,16.97,8.96,0
79,18.21,9.66,0
78,19.41,10.34,0
79,20.60,11.03,0
79,21.77,11.71,0
79,22.91,12.38,0
78,24.01,13.04,0
79,25.11,13.70,0
79,26.19,14.35,0
78,27.23,14.99,0
78,28.24,15.62,0
79,29.26,16.25,0
79,30.25,16.88,0
78,31.21,17.49,0
78,32.14,18.09,0
79,33.08,18.70,0
79,34.00,19.30,0
78,34.88,19.89,0
79,35.76,20.48,0
80,36.65,21.08,0
77,37.45,21.64,0
78,38.26,22.20,0
78,39.06,22.76,0
78,39.84,23.31,0
79,40.62,23.87,0
78,41.37,24.41,0
79,42.12,24.96,0
78,42.84,25.49,0
79,43.56,26.02,0
78,44.25,26.54,0
78,44.93,27.06,0
81,45.65,27.59,0
78,46.29,28.10,0
79,46.95,28.61,0
78,47.57,29.10,0
79,48.20,29.60,0
80,48.83,30.10,0
79,49.44,30.59,0
79,50.03,31.08,0
82,50.67,31.59,0
79,51.23,32.06,0
79,51.79,32.53,0
78,52.31,32.99,0
79,52.85,33.45,0
80,53.39,33.91,0
78,53.88,34.35,0
79,54.39,34.80,0
79,54.88,35.24,0
80,55.38,35.69,0
79,55.85,36.12,0
79,56.32,36.55,0
80,56.79,36.98,0
80,57.25,37.41,0
79,57.69,37.83,0
79,58.11,38.24,0
79,58.53,38.65,0
79,58.94,39.05,0
79,59.34,39.45,0
79,59.74,39.85,0
79,60.12,40.24,0
79,60.50,40.63,0
79,60.87,41.01,0
79,61.23,41.39,0
79,61.59,41.77,0
79,61.94,42.14,0
79,62.28,42.51,0
79,62.61,42.87,0
80,62.96,43.24,0
79,63.28,43.60,0
80,63.61,43.97,0
78,63.90,44.31,0
79,64.20,44.65,0
80,64.52,45.01,0
78,64.79,45.34,0
78,65.05,45.66,0
78,65.31,45.99,0
79,65.59,46.32,0
79,65.85,46.64,0
79,66.12,46.97,0
79,66.37,47.29,0
81,66.67,47.62,0
79,66.91,47.94,0
78,67.14,48.24,0
79,67.37,48.55,0
79,67.61,48.85,0
78,67.81,49.14,0
79,68.04,49.44,0
78,68.24,49.73,0
79,68.45,50.02,0
78,68.64,50.30,0
78,68.83,50.58,0
79,69.03,50.86,0
79,69.23,51.14,0
78,69.41,51.41,0
78,69.58,51.68,0
79,69.77,51.95,0
79,69.95,52.22,0
80,70.15,52.50,0
79,70.33,52.76,0
79,70.50,53.03,0
79,70.67,53.28,0
79,70.84,53.54,0
79,71.00,53.80,0
81,71.20,54.07,0
79,71.36,54.32,0
78,71.49,54.55,0
79,71.64,54.80,0
79,71.79,55.04,0
79,71.93,55.28,0
80,72.10,55.53,0
79,72.23,55.76,0
80,72.39,56.01,0
80,72.54,56.25,0
79,72.67,56.47,0
78,72.78,56.69,0
80,72.92,56.92,0
79,73.04,57.14,0
79,73.16,57.36,0
78,73.26,57.57,0
79,73.37,57.78,0
79,73.49,57.99,0
79,73.60,58.20,0
79,73.70,58.41,0
79,73.81,58.62,0
80,73.93,58.83,0
79,74.04,59.03,0
78,74.11,59.22,0
79,74.21,59.42,0
79,74.31,59.62,0
78,74.38,59.80,0
78,74.45,59.98,0
79,74.55,60.17,0
78,74.61,60.35,0
80,74.72,60.55,0
78,74.79,60.72,0
79,74.87,60.90,0
80,74.97,61.10,0
79,75.05,61.27,0
79,75.13,61.45,0
78,75.19,61.62,0
79,75.27,61.79,0
79,75.34,61.96,0
78,75.40,62.12,0
79,75.47,62.29,0
79,75.54,62.46,0
78,75.59,62.61,0
77,75.62,62.76,0
79,75.68,62.92,0
78,75.73,63.07,0
79,75.79,63.23,0
78,75.84,63.38,0
79,75.90,63.53,0
78,75.94,63.68,0
78,75.99,63.82,0
78,76.03,63.96,0
80,76.11,64.12,0
79,76.16,64.27,0
78,76.20,64.41,0
79,76.26,64.56,0
79,76.31,64.70,0
79,76.36,64.84,0
79,76.42,64.99,0
78,76.45,65.12,0
81,76.54,65.27,0
79,76.59,65.41,0
79,76.64,65.55,0
78,76.66,65.67,0
79,76.71,65.81,0
82,76.82,65.97,0
79,76.86,66.10,0
76,76.84,66.20,0
80,76.91,66.33,0
80,76.97,66.47,0
79,77.01,66.60,0
78,77.03,66.71,0
78,77.05,66.82,0
79,77.09,66.95,0
79,77.13,67.07,0
79,77.16,67.19,0
79,77.20,67.30,0
81,77.28,67.44,0
79,77.31,67.56,0
78,77.32,67.66,0
79,77.36,67.77,0
79,77.39,67.89,0
78,77.40,67.99,0
78,77.41,68.09,0
79,77.45,68.20,0
79,77.48,68.30,0
78,77.49,68.40,0
78,77.50,68.50,0
79,77.53,68.60,0
79,77.56,68.71,0
78,77.57,68.80,0
78,77.58,68.89,0
79,77.60,68.99,0
79,77.63,69.09,0
79,77.66,69.19,0
78,77.67,69.28,0
79,77.69,69.38,0
79,77.72,69.47,0
78,77.72,69.56,0
78,77.73,69.64,0
79,77.76,69.74,0
78,77.76,69.82,0
78,77.76,69.90,0
78,77.77,69.98,0
79,77.79,70.07,0
78,77.80,70.15,0
78,77.80,70.23,0
78,77.81,70.31,0
78,77.81,70.38,0
79,77.83,70.47,0
80,77.88,70.57,0
78,77.88,70.64,0
79,77.90,70.72,0
78,77.90,70.80,0
79,77.93,70.88,0
79,77.95,70.96,0
80,77.99,71.05,0
79,78.01,71.13,0
79,78.03,71.21,0
78,78.03,71.28,0
80,78.07,71.36,0
79,78.09,71.44,0
78,78.08,71.51,0
78,78.08,71.57,0
79,78.10,71.64,0
80,78.14,71.73,0
79,78.16,71.80,0
80,78.19,71.88,0
79,78.21,71.95,0
78,78.21,72.01,0
78,78.20,72.07,0
78,78.20,72.13,0
78,78.19,72.19,0
