10 contrações - ótimo

//Parâmetros
long frequencia = 10;             //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.30, fator2 = 0.22; //parâmetros de médias móveis
float incerteza = 60;             //Para cálculo de  cruzamento
float pico_basal = 130;           // Mínimo para ser considerado um pico de contração
unsigned long filtro_horizontal = 1500000UL;

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
382,114.60,84.04,0
423,207.12,158.61,0
408,267.38,213.48,0
395,305.67,253.41,0
385,329.47,282.36,0
321,326.93,290.86,0
363,337.75,306.73,0
306,328.22,306.57,0
349,334.46,315.91,0
342,336.72,321.65,0
336,336.50,324.80,0
339,337.25,327.93,0
276,318.88,316.50,0
273,305.11,306.93,0
270,294.58,298.81,0
268,286.61,292.03,0
267,280.72,286.52,0
264,275.71,281.57,0
261,271.29,277.04,0
262,268.51,273.73,0
257,265.05,270.05,0
257,262.64,267.18,0
254,260.05,264.28,0
253,257.93,261.80,0
240,252.55,257.00,0
237,247.89,252.60,0
298,262.92,262.59,0
299,273.74,270.60,0
296,280.42,276.19,0
293,284.19,279.89,0
291,286.24,282.33,0
291,287.67,284.24,0
290,288.37,285.51,0
291,289.16,286.71,0
287,288.51,286.78,0
288,288.36,287.05,0
288,288.25,287.26,0
289,288.47,287.64,0
287,288.03,287.50,0
286,287.42,287.17,0
288,287.60,287.35,0
286,287.12,287.05,0
285,286.48,286.60,0
287,286.64,286.69,0
285,286.15,286.32,0
285,285.80,286.03,0
286,285.86,286.02,0
284,285.30,285.58,0
285,285.21,285.45,0
281,283.95,284.47,0
281,283.06,283.71,0
295,286.64,286.19,0
303,291.55,289.89,0
322,300.69,296.95,0
357,317.58,310.16,0
345,325.81,317.83,0
450,363.06,346.91,0
442,386.75,367.83,0
500,420.72,396.90,1
607,476.61,443.13,1
644,526.82,487.32,1
609,551.48,514.09,1
585,561.53,529.69,1
567,563.17,537.90,1
542,556.82,538.80,1
522,546.38,535.10,1
498,531.86,526.94,1
473,514.20,515.07,1
450,494.94,500.76,1
485,491.96,497.29,1
410,467.37,478.09,1
448,461.56,471.47,1
427,451.19,461.68,1
357,422.93,438.65,1
396,414.85,429.27,1
332,390.00,407.87,1
324,370.20,389.42,1
367,369.24,384.49,1
358,365.87,378.66,1
351,361.41,372.57,1
343,355.88,366.07,1
343,352.02,360.99,1
298,335.81,347.13,1
374,347.27,353.05,1
379,356.79,358.76,1
393,367.65,366.29,1
427,385.46,379.65,1
471,411.12,399.74,1
515,442.28,425.10,1
567,479.70,456.32,2
613,519.69,490.79,2
657,560.88,527.35,2
643,585.52,552.80,2
637,600.96,571.32,2
677,623.77,594.57,2
651,631.94,606.98,2
625,629.86,610.95,2
534,601.10,594.02,2
572,592.37,589.18,2
