Teste de posicionamento 1.1(EMG ao centro do bíceps (Verde A, Vermelho B) + Ref no pulso) - 16/09/2024 - teste4 - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
80,1.60,0.80,0
79,3.15,1.58,0
79,4.67,2.36,0
79,6.15,3.12,0
80,7.63,3.89,0
79,9.06,4.64,0
79,10.46,5.39,0
79,11.83,6.12,0
78,13.15,6.84,0
79,14.47,7.56,0
79,15.76,8.28,0
79,17.02,8.98,0
79,18.26,9.68,0
78,19.46,10.37,0
79,20.65,11.05,0
79,21.81,11.73,0
79,22.96,12.41,0
78,24.06,13.06,0
78,25.14,13.71,0
78,26.19,14.35,0
79,27.25,15.00,0
78,28.27,15.63,0
78,29.26,16.25,0
79,30.26,16.88,0
78,31.21,17.49,0
78,32.15,18.10,0
79,33.08,18.71,0
78,33.98,19.30,0
80,34.90,19.91,0
78,35.76,20.49,0
79,36.63,21.07,0
80,37.50,21.66,0
78,38.31,22.23,0
78,39.10,22.78,0
77,39.86,23.33,0
78,40.62,23.87,0
78,41.37,24.41,0
79,42.12,24.96,0
78,42.84,25.49,0
79,43.56,26.02,0
78,44.25,26.54,0
78,44.93,27.06,0
78,45.59,27.57,0
78,46.24,28.07,0
78,46.87,28.57,0
78,47.49,29.07,0
77,48.08,29.55,0
78,48.68,30.03,0
78,49.27,30.51,0
78,49.84,30.99,0
77,50.39,31.45,0
79,50.96,31.92,0
78,51.50,32.38,0
78,52.03,32.84,0
78,52.55,33.29,0
77,53.04,33.73,0
78,53.54,34.17,0
78,54.03,34.61,0
79,54.53,35.05,0
76,54.95,35.46,0
76,55.38,35.87,0
77,55.81,36.28,0
76,56.21,36.67,0
78,56.65,37.09,0
77,57.05,37.49,0
77,57.45,37.88,0
77,57.84,38.27,0
77,58.23,38.66,0
78,58.62,39.05,0
77,58.99,39.43,0
78,59.37,39.82,0
77,59.72,40.19,0
78,60.09,40.57,0
76,60.41,40.92,0
77,60.74,41.28,0
77,61.06,41.64,0
80,61.44,42.02,0
77,61.75,42.37,0
76,62.04,42.71,0
76,62.32,43.04,0
76,62.59,43.37,0
76,62.86,43.70,0
76,63.12,44.02,0
77,63.40,44.35,0
76,63.65,44.67,0
76,63.90,44.98,0
76,64.14,45.29,0
76,64.38,45.60,0
76,64.61,45.90,0
76,64.84,46.20,0
76,65.06,46.50,0
78,65.32,46.82,0
74,65.49,47.09,0
76,65.70,47.38,0
76,65.91,47.66,0
77,66.13,47.96,0
76,66.33,48.24,0
75,66.50,48.51,0
76,66.69,48.78,0
76,66.88,49.05,0
75,67.04,49.31,0
74,67.18,49.56,0
77,67.38,49.83,0
77,67.57,50.11,0
76,67.74,50.36,0
74,67.86,50.60,0
76,68.03,50.85,0
76,68.19,51.11,0
75,68.32,51.35,0
74,68.44,51.57,0
76,68.59,51.82,0
75,68.72,52.05,0
76,68.86,52.29,0
76,69.00,52.52,0
75,69.12,52.75,0
75,69.24,52.97,0
74,69.34,53.18,0
74,69.43,53.39,0
76,69.56,53.62,0
76,69.69,53.84,0
