Teste de posicionamento 1(EMG ao centro do bíceps (Vermelho A, Verde B) + Ref no pulso) - 16/09/2024 - teste4 - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração


Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
98,1.96,0.98,0
96,3.84,1.93,0
96,5.68,2.87,0
98,7.53,3.82,0
97,9.32,4.75,0
97,11.07,5.68,0
99,12.83,6.61,0
96,14.50,7.50,0
97,16.15,8.40,0
97,17.76,9.28,0
95,19.31,10.14,0
97,20.86,11.01,0
98,22.40,11.88,0
97,23.90,12.73,0
95,25.32,13.55,0
96,26.73,14.38,0
96,28.12,15.19,0
98,29.51,16.02,0
96,30.84,16.82,0
96,32.15,17.61,0
97,33.44,18.41,0
95,34.68,19.17,0
96,35.90,19.94,0
96,37.10,20.70,0
97,38.30,21.47,0
95,39.44,22.20,0
96,40.57,22.94,0
96,41.68,23.67,0
95,42.74,24.38,0
95,43.79,25.09,0
94,44.79,25.78,0
94,45.78,26.46,0
96,46.78,27.16,0
96,47.76,27.84,0
96,48.73,28.53,0
95,49.65,29.19,0
94,50.54,29.84,0
95,51.43,30.49,0
94,52.28,31.13,0
96,53.16,31.77,0
96,54.01,32.42,0
95,54.83,33.04,0
94,55.62,33.65,0
96,56.42,34.28,0
96,57.22,34.89,0
95,57.97,35.49,0
94,58.69,36.08,0
94,59.40,36.66,0
95,60.11,37.24,0
94,60.79,37.81,0
96,61.49,38.39,0
94,62.14,38.95,0
95,62.80,39.51,0
96,63.46,40.07,0
94,64.07,40.61,0
94,64.67,41.15,0
94,65.26,41.67,0
94,65.83,42.20,0
94,66.40,42.72,0
94,66.95,43.23,0
94,67.49,43.74,0
94,68.02,44.24,0
94,68.54,44.74,0
94,69.05,45.23,0
93,69.53,45.71,0
94,70.02,46.19,0
94,70.50,46.67,0
94,70.97,47.14,0
94,71.43,47.61,0
92,71.84,48.05,0
94,72.28,48.51,0
94,72.72,48.97,0
93,73.12,49.41,0
94,73.54,49.85,0
93,73.93,50.29,0
94,74.33,50.72,0
93,74.70,51.15,0
94,75.09,51.57,0
93,75.45,51.99,0
93,75.80,52.40,0
93,76.14,52.80,0
95,76.52,53.23,0
94,76.87,53.63,0
94,77.21,54.04,0
93,77.53,54.43,0
92,77.82,54.80,0
92,78.10,55.18,0
92,78.38,55.54,0
94,78.69,55.93,0
93,78.98,56.30,0
92,79.24,56.66,0
92,79.49,57.01,0
92,79.74,57.36,0
95,80.05,57.74,0
92,80.29,58.08,0
92,80.52,58.42,0
92,80.75,58.75,0
92,80.98,59.09,0
93,81.22,59.42,0
92,81.43,59.75,0
93,81.66,60.08,0
93,81.89,60.41,0
92,82.09,60.73,0
92,82.29,61.04,0
92,82.49,61.35,0
93,82.70,61.67,0
93,82.90,61.98,0
92,83.08,62.28,0
93,83.28,62.59,0
92,83.46,62.88,0
92,83.63,63.17,0
90,83.75,63.44,0
90,83.88,63.71,0
91,84.02,63.98,0
92,84.18,64.26,0
91,84.32,64.53,0
92,84.47,64.80,0
93,84.64,65.08,0
91,84.77,65.34,0
90,84.87,65.59,0
92,85.02,65.85,0
92,85.16,66.12,0
91,85.27,66.36,0
91,85.39,66.61,0
93,85.54,66.87,0
91,85.65,67.12,0
92,85.78,67.36,0
92,85.90,67.61,0
92,86.02,67.85,0
92,86.14,68.10,0
91,86.24,68.33,0
92,86.35,68.56,0
92,86.47,68.80,0
91,86.56,69.02,0
91,86.65,69.24,0
90,86.71,69.45,0
92,86.82,69.67,0
92,86.92,69.89,0
90,86.98,70.10,0
90,87.05,70.29,0
92,87.14,70.51,0
91,87.22,70.72,0
91,87.30,70.92,0
92,87.39,71.13,0
91,87.46,71.33,0
91,87.53,71.53,0
90,87.58,71.71,0
91,87.65,71.90,0
91,87.72,72.09,0
91,87.78,72.28,0
91,87.85,72.47,0
90,87.89,72.65,0
91,87.95,72.83,0
92,88.03,73.02,0
90,88.07,73.19,0
90,88.11,73.36,0
92,88.19,73.55,0
90,88.23,73.71,0
90,88.26,73.87,0
90,88.30,74.03,0
91,88.35,74.20,0
90,88.38,74.36,0
90,88.42,74.52,0
90,88.45,74.67,0
90,88.48,74.83,0
92,88.55,75.00,0
90,88.58,75.15,0
90,88.61,75.30,0
90,88.63,75.44,0
90,88.66,75.59,0
92,88.73,75.75,0
90,88.75,75.90,0
89,88.76,76.03,0
89,88.76,76.16,0
90,88.79,76.29,0
90,88.81,76.43,0
89,88.82,76.56,0
89,88.82,76.68,0
90,88.84,76.82,0
89,88.85,76.94,0
90,88.87,77.07,0
89,88.87,77.19,0
90,88.90,77.32,0
89,88.90,77.43,0
88,88.88,77.54,0
88,88.86,77.64,0
88,88.84,77.75,0
89,88.85,77.86,0
89,88.85,77.97,0
89,88.85,78.08,0
88,88.84,78.18,0
89,88.84,78.29,0
90,88.86,78.40,0
88,88.85,78.50,0
88,88.83,78.60,0
88,88.81,78.69,0
89,88.82,78.79,0
89,88.82,78.89,0
88,88.80,78.99,0
88,88.79,79.08,0
88,88.77,79.17,0
89,88.78,79.26,0
88,88.76,79.35,0
88,88.75,79.44,0
89,88.75,79.53,0
89,88.76,79.63,0
88,88.74,79.71,0
88,88.73,79.79,0
89,88.73,79.89,0
88,88.72,79.97,0
87,88.68,80.04,0
87,88.65,80.11,0
89,88.66,80.20,0
89,88.66,80.28,0
88,88.65,80.36,0
86,88.60,80.42,0
86,88.54,80.47,0
86,88.49,80.53,0
