Teste de posicionamento 1(EMG ao centro do bíceps (Vermelho A, Verde B) + Ref no pulso) - 19/10/2024 - teste7 - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
114,2.28,1.14,0
114,4.51,2.27,0
114,6.70,3.39,0
115,8.87,4.50,0
114,10.97,5.60,0
114,13.03,6.68,0
116,15.09,7.77,0
113,17.05,8.83,0
114,18.99,9.88,0
115,20.91,10.93,0
113,22.75,11.95,0
114,24.58,12.97,0
113,26.35,13.97,0
111,28.04,14.94,0
113,29.74,15.92,0
113,31.40,16.89,0
113,33.03,17.85,0
113,34.63,18.81,0
113,36.20,19.75,0
113,37.74,20.68,0
111,39.20,21.58,0
113,40.68,22.50,0
113,42.12,23.40,0
113,43.54,24.30,0
113,44.93,25.19,0
113,46.29,26.06,0
112,47.61,26.92,0
113,48.91,27.78,0
113,50.20,28.64,0
112,51.43,29.47,0
113,52.66,30.30,0
112,53.85,31.12,0
113,55.03,31.94,0
113,56.19,32.75,0
111,57.29,33.53,0
111,58.36,34.31,0
111,59.42,35.07,0
112,60.47,35.84,0
111,61.48,36.60,0
112,62.49,37.35,0
111,63.46,38.09,0
112,64.43,38.83,0
111,65.36,39.55,0
111,66.27,40.26,0
113,67.21,40.99,0
111,68.08,41.69,0
113,68.98,42.40,0
112,69.84,43.10,0
111,70.67,43.78,0
111,71.47,44.45,0
111,72.26,45.11,0
111,73.04,45.77,0
111,73.80,46.43,0
111,74.54,47.07,0
111,75.27,47.71,0
111,75.99,48.34,0
111,76.69,48.97,0
111,77.37,49.59,0
111,78.04,50.20,0
111,78.70,50.81,0
111,79.35,51.41,0
111,79.98,52.01,0
112,80.62,52.61,0
111,81.23,53.19,0
111,81.83,53.77,0
111,82.41,54.34,0
109,82.94,54.89,0
109,83.46,55.43,0
109,83.97,55.97,0
109,84.47,56.50,0
109,84.96,57.02,0
110,85.46,57.55,0
110,85.96,58.08,0
110,86.44,58.60,0
110,86.91,59.11,0
109,87.35,59.61,0
110,87.80,60.11,0
109,88.23,60.60,0
110,88.66,61.10,0
111,89.11,61.60,0
111,89.55,62.09,0
110,89.96,62.57,0
110,90.36,63.04,0
109,90.73,63.50,0
110,91.11,63.97,0
109,91.47,64.42,0
109,91.82,64.86,0
109,92.17,65.31,0
110,92.52,65.75,0
108,92.83,66.17,0
109,93.16,66.60,0
110,93.49,67.04,0
109,93.80,67.46,0
109,94.11,67.87,0
109,94.40,68.28,0
109,94.70,68.69,0
109,94.98,69.09,0
109,95.26,69.49,0
109,95.54,69.89,0
109,95.81,70.28,0
109,96.07,70.67,0
108,96.31,71.04,0
109,96.56,71.42,0
109,96.81,71.79,0
110,97.08,72.18,0
109,97.31,72.54,0
108,97.53,72.90,0
108,97.74,73.25,0
108,97.94,73.60,0
109,98.16,73.95,0
108,98.36,74.29,0
108,98.55,74.63,0
108,98.74,74.96,0
109,98.95,75.30,0
