Teste de posicionamento 2(EMG ao centro do bíceps (Vermelho A, Verde B) + Ref no cotovelo) - 16/04/2024 - teste2 - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
21,0.42,0.21,0
21,0.83,0.42,0
21,1.23,0.62,0
22,1.65,0.84,0
21,2.04,1.04,0
21,2.42,1.24,0
24,2.85,1.47,0
21,3.21,1.66,0
24,3.63,1.89,0
21,3.97,2.08,0
22,4.33,2.28,0
21,4.67,2.46,0
21,4.99,2.65,0
23,5.36,2.85,0
22,5.69,3.04,0
23,6.03,3.24,0
21,6.33,3.42,0
21,6.63,3.60,0
21,6.91,3.77,0
23,7.24,3.96,0
24,7.57,4.16,0
25,7.92,4.37,0
22,8.20,4.55,0
23,8.50,4.73,0
24,8.81,4.92,0
21,9.05,5.09,0
21,9.29,5.24,0
22,9.54,5.41,0
24,9.83,5.60,0
21,10.06,5.75,0
22,10.30,5.91,0
21,10.51,6.07,0
21,10.72,6.21,0
21,10.93,6.36,0
22,11.15,6.52,0
22,11.36,6.67,0
21,11.56,6.82,0
21,11.75,6.96,0
22,11.95,7.11,0
22,12.15,7.26,0
21,12.33,7.40,0
19,12.46,7.51,0
21,12.63,7.65,0
22,12.82,7.79,0
21,12.98,7.92,0
21,13.14,8.05,0
21,13.30,8.18,0
21,13.46,8.31,0
23,13.65,8.46,0
21,13.79,8.58,0
21,13.94,8.71,0
21,14.08,8.83,0
21,14.22,8.95,0
21,14.35,9.07,0
20,14.47,9.18,0
20,14.58,9.29,0
20,14.68,9.40,0
22,14.83,9.52,0
20,14.93,9.63,0
21,15.06,9.74,0
20,15.15,9.84,0
21,15.27,9.96,0
21,15.39,10.07,0
21,15.50,10.18,0
21,15.61,10.28,0
19,15.68,10.37,0
21,15.78,10.48,0
20,15.87,10.57,0
21,15.97,10.68,0
20,16.05,10.77,0
21,16.15,10.87,0
21,16.25,10.97,0
20,16.32,11.06,0
20,16.39,11.15,0
21,16.49,11.25,0
21,16.58,11.35,0
20,16.65,11.44,0
20,16.71,11.52,0
20,16.78,11.61,0
22,16.88,11.71,0
20,16.95,11.79,0
20,17.01,11.87,0
21,17.09,11.97,0
21,17.16,12.06,0
20,17.22,12.14,0
20,17.28,12.21,0
20,17.33,12.29,0
20,17.38,12.37,0
20,17.44,12.45,0
20,17.49,12.52,0
20,17.54,12.60,0
21,17.61,12.68,0
20,17.66,12.75,0
20,17.70,12.83,0
21,17.77,12.91,0
20,17.81,12.98,0
20,17.86,13.05,0
20,17.90,13.12,0
20,17.94,13.19,0
20,17.98,13.25,0
20,18.02,13.32,0
22,18.10,13.41,0
20,18.14,13.48,0
21,18.20,13.55,0
20,18.23,13.61,0
20,18.27,13.68,0
20,18.30,13.74,0
20,18.34,13.80,0
23,18.43,13.90,0
22,18.50,13.98,0
21,18.55,14.05,0
20,18.58,14.11,0
20,18.61,14.17,0
22,18.68,14.24,0
20,18.70,14.30,0
22,18.77,14.38,0
20,18.79,14.44,0
20,18.82,14.49,0
20,18.84,14.55,0
20,18.87,14.60,0
22,18.93,14.67,0
20,18.95,14.73,0
21,18.99,14.79,0
20,19.01,14.84,0
17,18.97,14.86,0
20,18.99,14.92,0
21,19.03,14.98,0
20,19.05,15.03,0
20,19.07,15.08,0
20,19.09,15.13,0
20,19.11,15.17,0
20,19.12,15.22,0
20,19.14,15.27,0
19,19.14,15.31,0
21,19.18,15.36,0
21,19.21,15.42,0
20,19.23,15.47,0
19,19.22,15.50,0
21,19.26,15.56,0
22,19.31,15.62,0
20,19.33,15.67,0
20,19.34,15.71,0
20,19.35,15.75,0
20,19.37,15.79,0
20,19.38,15.84,0
20,19.39,15.88,0
20,19.40,15.92,0
20,19.42,15.96,0
19,19.41,15.99,0
20,19.42,16.03,0
22,19.47,16.09,0
20,19.48,16.13,0
20,19.49,16.17,0
21,19.52,16.22,0
20,19.53,16.25,0
20,19.54,16.29,0
20,19.55,16.33,0
20,19.56,16.37,0
20,19.57,16.40,0
20,19.58,16.44,0
20,19.59,16.47,0
20,19.59,16.51,0
20,19.60,16.54,0
21,19.63,16.59,0
20,19.64,16.62,0
19,19.62,16.65,0
20,19.63,16.68,0
20,19.64,16.71,0
19,19.63,16.74,0
20,19.63,16.77,0
20,19.64,16.80,0
20,19.65,16.83,0
20,19.66,16.86,0
20,19.66,16.90,0
20,19.67,16.93,0
20,19.68,16.96,0
20,19.68,16.99,0
20,19.69,17.02,0
20,19.70,17.05,0
20,19.70,17.08,0
22,19.75,17.13,0
20,19.75,17.16,0
21,19.78,17.19,0
20,19.78,17.22,0
20,19.79,17.25,0
20,19.79,17.28,0
21,19.81,17.31,0
21,19.84,17.35,0
22,19.88,17.40,0
20,19.88,17.42,0
20,19.89,17.45,0
20,19.89,17.47,0
21,19.91,17.51,0
20,19.91,17.53,0
20,19.91,17.56,0
22,19.96,17.60,0
20,19.96,17.63,0
20,19.96,17.65,0
20,19.96,17.68,0
20,19.96,17.70,0
20,19.96,17.72,0
20,19.96,17.74,0
20,19.96,17.77,0
20,19.96,17.79,0
20,19.96,17.81,0
20,19.96,17.83,0
19,19.94,17.84,0
20,19.95,17.87,0
20,19.95,17.89,0
20,19.95,17.91,0
21,19.97,17.94,0
20,19.97,17.96,0
20,19.97,17.98,0
20,19.97,18.00,0
20,19.97,18.02,0
20,19.97,18.04,0
20,19.97,18.06,0
20,19.97,18.08,0
19,19.95,18.09,0
20,19.95,18.11,0
20,19.96,18.13,0
20,19.96,18.15,0
20,19.96,18.16,0
20,19.96,18.18,0
20,19.96,18.20,0
18,19.92,18.20,0
20,19.92,18.22,0
20,19.92,18.23,0
20,19.92,18.25,0
18,19.89,18.25,0
20,19.89,18.27,0
24,19.97,18.32,0
20,19.97,18.34,0
18,19.93,18.34,0
20,19.93,18.35,0
20,19.93,18.37,0
21,19.96,18.40,0
20,19.96,18.41,0
21,19.98,18.44,0
19,19.96,18.44,0
19,19.94,18.45,0
18,19.90,18.45,0
20,19.90,18.46,0
19,19.88,18.47,0
19,19.87,18.47,0
22,19.91,18.51,0
20,19.91,18.52,0
20,19.91,18.54,0
20,19.91,18.55,0
20,19.92,18.57,0
20,19.92,18.58,0
20,19.92,18.59,0
18,19.88,18.59,0
20,19.88,18.60,0
21,19.91,18.63,0
19,19.89,18.63,0
20,19.89,18.64,0
21,19.91,18.67,0
20,19.91,18.68,0
21,19.94,18.70,0
20,19.94,18.72,0
20,19.94,18.73,0
19,19.92,18.73,0
20,19.92,18.75,0
20,19.92,18.76,0
20,19.92,18.77,0
20,19.93,18.78,0
20,19.93,18.79,0
20,19.93,18.81,0
20,19.93,18.82,0
20,19.93,18.83,0
20,19.93,18.84,0
20,19.93,18.85,0
20,19.94,18.87,0
20,19.94,18.88,0
20,19.94,18.89,0
20,19.94,18.90,0
20,19.94,18.91,0
19,19.92,18.91,0
20,19.92,18.92,0
20,19.92,18.93,0
20,19.93,18.94,0
20,19.93,18.95,0
21,19.95,18.97,0
21,19.97,18.99,0
20,19.97,19.00,0
22,20.01,19.03,0
20,20.01,19.04,0
20,20.01,19.05,0
20,20.01,19.06,0
21,20.03,19.08,0
21,20.05,19.10,0
22,20.09,19.13,0
21,20.11,19.15,0
19,20.08,19.15,0
21,20.10,19.17,0
20,20.10,19.17,0
20,20.10,19.18,0
21,20.12,19.20,0
20,20.11,19.21,0
20,20.11,19.22,0
21,20.13,19.24,0
21,20.15,19.25,0
21,20.16,19.27,0
21,20.18,19.29,0
20,20.18,19.29,0
21,20.19,19.31,0
21,20.21,19.33,0
21,20.23,19.35,0
22,20.26,19.37,0
21,20.28,19.39,0
21,20.29,19.40,0
21,20.31,19.42,0
20,20.30,19.43,0
21,20.31,19.44,0
23,20.37,19.48,0
21,20.38,19.49,0
20,20.37,19.50,0
20,20.36,19.50,0
21,20.38,19.52,0
22,20.41,19.54,0
21,20.42,19.56,0
22,20.45,19.58,0
22,20.48,19.61,0
20,20.47,19.61,0
20,20.46,19.61,0
22,20.50,19.64,0
22,20.53,19.66,0
20,20.51,19.66,0
22,20.54,19.69,0
22,20.57,19.71,0
21,20.58,19.72,0
21,20.59,19.74,0
22,20.62,19.76,0
21,20.63,19.77,0
22,20.65,19.79,0
22,20.68,19.82,0
21,20.69,19.83,0
22,20.71,19.85,0
21,20.72,19.86,0
22,20.74,19.88,0
21,20.75,19.89,0
22,20.77,19.91,0
20,20.76,19.92,0
21,20.76,19.93,0
20,20.75,19.93,0
25,20.83,19.98,0
22,20.86,20.00,0
22,20.88,20.02,0
22,20.90,20.04,0
21,20.90,20.05,0
21,20.91,20.06,0
22,20.93,20.08,0
22,20.95,20.10,0
19,20.91,20.08,0
22,20.93,20.10,0
22,20.95,20.12,0
22,20.97,20.14,0
22,21.00,20.16,0
22,21.02,20.18,0
22,21.04,20.20,0
22,21.05,20.21,0
20,21.03,20.21,0
21,21.03,20.22,0
22,21.05,20.24,0
20,21.03,20.24,0
22,21.05,20.25,0
23,21.09,20.28,0
22,21.11,20.30,0
22,21.13,20.32,0
22,21.14,20.33,0
24,21.20,20.37,0
22,21.22,20.39,0
19,21.17,20.37,0
22,21.19,20.39,0
21,21.18,20.39,0
22,21.20,20.41,0
22,21.22,20.43,0
23,21.25,20.45,0
22,21.27,20.47,0
22,21.28,20.48,0
22,21.30,20.50,0
21,21.29,20.50,0
22,21.30,20.52,0
24,21.36,20.55,0
22,21.37,20.57,0
22,21.38,20.58,0
22,21.40,20.60,0
22,21.41,20.61,0
22,21.42,20.62,0
22,21.43,20.64,0
22,21.44,20.65,0
22,21.45,20.66,0
22,21.47,20.68,0
22,21.48,20.69,0
21,21.47,20.69,0
22,21.48,20.71,0
22,21.49,20.72,0
23,21.52,20.74,0
22,21.53,20.76,0
22,21.54,20.77,0
22,21.55,20.78,0
23,21.58,20.80,0
23,21.60,20.82,0
22,21.61,20.84,0
22,21.62,20.85,0
23,21.65,20.87,0
22,21.65,20.88,0
23,21.68,20.90,0
22,21.69,20.91,0
22,21.69,20.92,0
22,21.70,20.93,0
22,21.71,20.94,0
22,21.71,20.96,0
23,21.74,20.98,0
22,21.74,20.99,0
22,21.75,21.00,0
22,21.75,21.01,0
23,21.78,21.03,0
22,21.78,21.04,0
22,21.79,21.05,0
22,21.79,21.06,0
24,21.84,21.08,0
24,21.88,21.11,0
24,21.92,21.14,0
22,21.92,21.15,0
23,21.94,21.17,0
24,21.99,21.20,0
23,22.01,21.22,0
22,22.01,21.22,0
23,22.03,21.24,0
25,22.08,21.28,0
24,22.12,21.31,0
24,22.16,21.33,0
23,22.18,21.35,0
24,22.21,21.38,0
22,22.21,21.38,0
23,22.23,21.40,0
24,22.26,21.42,0
24,22.30,21.45,0
24,22.33,21.48,0
24,22.36,21.50,0
24,22.40,21.53,0
24,22.43,21.55,0
24,22.46,21.58,0
24,22.49,21.60,0
25,22.54,21.63,0
24,22.57,21.66,0
24,22.60,21.68,0
24,22.63,21.70,0
24,22.65,21.73,0
24,22.68,21.75,0
24,22.71,21.77,0
24,22.73,21.79,0
26,22.80,21.84,0
25,22.84,21.87,0
24,22.87,21.89,0
24,22.89,21.91,0
24,22.91,21.93,0
25,22.95,21.96,0
24,22.97,21.98,0
26,23.03,22.02,0
25,23.07,22.05,0
25,23.11,22.08,0
24,23.13,22.10,0
24,23.15,22.12,0
26,23.20,22.16,0
26,23.26,22.20,0
26,23.31,22.24,0
23,23.31,22.24,0
26,23.36,22.28,0
25,23.39,22.31,0
26,23.45,22.34,0
24,23.46,22.36,0
25,23.49,22.39,0
26,23.54,22.42,0
24,23.55,22.44,0
22,23.52,22.44,0
