Teste de posicionamento 4(EMG tendao-inervacao (Vermelho A, Verde C) + Ref no cotovelo) - 16/09/2024 - teste3 - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
37,0.74,0.37,0
37,1.47,0.74,0
36,2.16,1.09,0
38,2.87,1.46,0
38,3.58,1.82,0
38,4.26,2.19,0
39,4.96,2.55,0
38,5.62,2.91,0
39,6.29,3.27,0
39,6.94,3.63,0
39,7.58,3.98,0
40,8.23,4.34,0
37,8.81,4.67,0
39,9.41,5.01,0
38,9.98,5.34,0
40,10.58,5.69,0
39,11.15,6.02,0
38,11.69,6.34,0
39,12.23,6.67,0
39,12.77,6.99,0
38,13.27,7.30,0
38,13.77,7.61,0
39,14.27,7.92,0
40,14.79,8.24,0
38,15.25,8.54,0
39,15.73,8.84,0
39,16.19,9.14,0
38,16.63,9.43,0
38,17.06,9.72,0
39,17.49,10.01,0
40,17.94,10.31,0
37,18.33,10.58,0
38,18.72,10.85,0
39,19.12,11.13,0
37,19.48,11.39,0
38,19.85,11.66,0
38,20.22,11.92,0
38,20.57,12.18,0
42,21.00,12.48,0
38,21.34,12.74,0
36,21.63,12.97,0
38,21.96,13.22,0
37,22.26,13.46,0
38,22.58,13.70,0
36,22.84,13.93,0
37,23.13,14.16,0
38,23.43,14.40,0
36,23.68,14.61,0
37,23.94,14.83,0
38,24.22,15.07,0
39,24.52,15.31,0
38,24.79,15.53,0
38,25.05,15.76,0
38,25.31,15.98,0
35,25.51,16.17,0
38,25.76,16.39,0
38,26.00,16.60,0
38,26.24,16.82,0
38,26.48,17.03,0
38,26.71,17.24,0
39,26.95,17.46,0
38,27.17,17.66,0
38,27.39,17.87,0
38,27.60,18.07,0
38,27.81,18.27,0
38,28.01,18.46,0
38,28.21,18.66,0
38,28.41,18.85,0
38,28.60,19.04,0
39,28.81,19.24,0
38,28.99,19.43,0
38,29.17,19.62,0
40,29.39,19.82,0
38,29.56,20.00,0
38,29.73,20.18,0
40,29.94,20.38,0
38,30.10,20.56,0
38,30.26,20.73,0
38,30.41,20.90,0
38,30.56,21.08,0
38,30.71,21.24,0
39,30.88,21.42,0
40,31.06,21.61,0
40,31.24,21.79,0
39,31.39,21.96,0
43,31.63,22.17,0
38,31.75,22.33,0
39,31.90,22.50,0
41,32.08,22.68,0
39,32.22,22.85,0
39,32.35,23.01,0
41,32.53,23.19,0
39,32.66,23.35,0
39,32.78,23.50,0
39,32.91,23.66,0
39,33.03,23.81,0
39,33.15,23.96,0
40,33.29,24.12,0
38,33.38,24.26,0
38,33.47,24.40,0
38,33.56,24.54,0
39,33.67,24.68,0
42,33.84,24.85,0
40,33.96,25.01,0
40,34.08,25.16,0
