Teste de Amostragem 10hz - posicionamento 1(EMG ao centro do bíceps (Vermelho A, Verde B) + Ref no pulso) - 19/10/2024 - teste2 - 5 contrações
long frequencia = 100;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
134,2.68,1.34,0
134,5.31,2.67,0
135,7.90,3.99,0
133,10.40,5.28,0
132,12.83,6.55,0
133,15.24,7.81,0
133,17.59,9.06,0
134,19.92,10.31,0
131,22.14,11.52,0
133,24.36,12.73,0
131,26.49,13.92,0
132,28.60,15.10,0
131,30.65,16.26,0
131,32.66,17.40,0
131,34.62,18.54,0
130,36.53,19.66,0
130,38.40,20.76,0
130,40.23,21.85,0
129,42.01,22.92,0
129,43.75,23.98,0
129,45.45,25.03,0
128,47.10,26.06,0
128,48.72,27.08,0
128,50.31,28.09,0
128,51.86,29.09,0
127,53.36,30.07,0
128,54.86,31.05,0
126,56.28,32.00,0
127,57.69,32.95,0
126,59.06,33.88,0
126,60.40,34.80,0
125,61.69,35.70,0
125,62.96,36.60,0
127,64.24,37.50,0
123,65.41,38.35,0
124,66.59,39.21,0
124,67.73,40.06,0
123,68.84,40.89,0
123,69.92,41.71,0
122,70.96,42.51,0
123,72.00,43.32,0
122,73.00,44.10,0
124,74.02,44.90,0
123,75.00,45.68,0
122,75.94,46.45,0
124,76.90,47.22,0
123,77.83,47.98,0
123,78.73,48.73,0
123,79.62,49.47,0
124,80.50,50.22,0
123,81.35,50.95,0
123,82.19,51.67,0
125,83.04,52.40,0
123,83.84,53.11,0
125,84.66,53.83,0
123,85.43,54.52,0
124,86.20,55.21,0
124,86.96,55.90,0
124,87.70,56.58,0
123,88.41,57.24,0
124,89.12,57.91,0
123,89.80,58.56,0
123,90.46,59.21,0
125,91.15,59.87,0
123,91.79,60.50,0
124,92.43,61.13,0
124,93.06,61.76,0
126,93.72,62.40,0
125,94.35,63.03,0
126,94.98,63.66,0
126,95.60,64.28,0
127,96.23,64.91,0
127,96.84,65.53,0
127,97.45,66.14,0
128,98.06,66.76,0
129,98.68,67.39,0
130,99.30,68.01,0
132,99.96,68.65,0
132,100.60,69.29,0
136,101.31,69.95,0
135,101.98,70.60,0
134,102.62,71.24,0
137,103.31,71.89,0
140,104.04,72.58,0
141,104.78,73.26,0
146,105.61,73.99,0
148,106.45,74.73,0
149,107.30,75.47,0
151,108.18,76.23,0
150,109.01,76.96,0
150,109.83,77.69,0
153,110.70,78.45,0
154,111.56,79.20,0
156,112.45,79.97,0
157,113.34,80.74,0
158,114.24,81.51,0
164,115.23,82.34,0
167,116.27,83.18,0
168,117.30,84.03,0
170,118.36,84.89,0
171,119.41,85.75,0
174,120.50,86.64,0
179,121.67,87.56,0
183,122.90,88.51,0
183,124.10,89.46,0
187,125.36,90.43,0
186,126.57,91.39,0
190,127.84,92.38,0
190,129.08,93.35,0
190,130.30,94.32,0
193,131.55,95.31,0
194,132.80,96.29,0
195,134.05,97.28,0
195,135.27,98.26,0
193,136.42,99.20,0
192,137.53,100.13,0
192,138.62,101.05,0
190,139.65,101.94,0
190,140.66,102.82,0
187,141.58,103.66,0
186,142.47,104.49,0
185,143.32,105.29,0
182,144.10,106.06,0
183,144.87,106.83,0
181,145.60,107.57,0
180,146.28,108.29,0
179,146.94,109.00,0
177,147.54,109.68,0
178,148.15,110.36,0
176,148.71,111.02,0
175,149.23,111.66,0
173,149.71,112.27,0
172,150.15,112.87,0
171,150.57,113.45,0
170,150.96,114.02,0
169,151.32,114.57,0
168,151.65,115.10,0
168,151.98,115.63,0
166,152.26,116.13,0
167,152.56,116.64,0
164,152.78,117.12,0
165,153.03,117.60,0
163,153.23,118.05,0
162,153.40,118.49,0
162,153.58,118.92,0
160,153.70,119.33,0
159,153.81,119.73,0
158,153.89,120.11,0
157,153.96,120.48,0
156,154.00,120.84,0
157,154.06,121.20,0
156,154.10,121.55,0
156,154.13,121.89,0
154,154.13,122.21,0
154,154.13,122.53,0
153,154.11,122.84,0
151,154.04,123.12,0
152,154.00,123.41,0
151,153.94,123.68,0
149,153.84,123.94,0
148,153.73,124.18,0
149,153.63,124.42,0
148,153.52,124.66,0
147,153.39,124.88,0
146,153.24,125.09,0
147,153.12,125.31,0
145,152.95,125.51,0
144,152.78,125.70,0
145,152.62,125.89,0
146,152.49,126.09,0
143,152.30,126.26,0
142,152.09,126.42,0
141,151.87,126.56,0
141,151.65,126.71,0
142,151.46,126.86,0
139,151.21,126.98,0
138,150.95,127.09,0
140,150.73,127.22,0
137,150.45,127.32,0
137,150.18,127.41,0
138,149.94,127.52,0
138,149.70,127.63,0
137,149.45,127.72,0
136,149.18,127.80,0
136,148.91,127.88,0
135,148.64,127.96,0
136,148.38,128.04,0
134,148.10,128.10,0
135,147.83,128.16,0
133,147.54,128.21,0
135,147.29,128.28,0
131,146.96,128.31,0
131,146.64,128.33,0
133,146.37,128.38,0
131,146.06,128.41,0
132,145.78,128.44,0
129,145.44,128.45,0
129,145.12,128.45,0
129,144.79,128.46,0
129,144.48,128.47,0
128,144.15,128.46,0
128,143.83,128.46,0
127,143.49,128.44,0
126,143.14,128.42,0
127,142.82,128.40,0
126,142.48,128.38,0
127,142.17,128.37,0
126,141.85,128.34,0
126,141.53,128.32,0
127,141.24,128.30,0
127,140.95,128.29,0
127,140.68,128.28,0
127,140.40,128.27,0
127,140.13,128.25,0
126,139.85,128.23,0
127,139.59,128.22,0
126,139.32,128.20,0
124,139.02,128.15,0
124,138.72,128.11,0
123,138.40,128.06,0
125,138.13,128.03,0
123,137.83,127.98,0
124,137.55,127.94,0
124,137.28,127.90,0
123,137.00,127.85,0
123,136.72,127.80,0
122,136.42,127.75,0
124,136.17,127.71,0
123,135.91,127.66,0
124,135.67,127.62,0
122,135.40,127.57,0
124,135.17,127.53,0
123,134.93,127.49,0
123,134.69,127.44,0
124,134.48,127.41,0
123,134.25,127.36,0
124,134.04,127.33,0
123,133.82,127.29,0
122,133.58,127.23,0
123,133.37,127.19,0
122,133.14,127.14,0
122,132.92,127.09,0
122,132.70,127.04,0
123,132.51,127.00,0
123,132.32,126.96,0
125,132.17,126.94,0
122,131.97,126.89,0
122,131.77,126.84,0
121,131.55,126.78,0
122,131.36,126.73,0
121,131.16,126.68,0
122,130.97,126.63,0
121,130.77,126.57,0
122,130.60,126.53,0
122,130.43,126.48,0
121,130.24,126.43,0
121,130.05,126.37,0
120,129.85,126.31,0
120,129.65,126.25,0
121,129.48,126.19,0
124,129.37,126.17,0
123,129.24,126.14,0
122,129.10,126.10,0
124,129.00,126.08,0
124,128.90,126.06,0
125,128.82,126.05,0
125,128.74,126.04,0
127,128.71,126.05,0
127,128.67,126.06,0
132,128.74,126.11,0
138,128.93,126.23,0
141,129.17,126.38,0
139,129.36,126.51,0
140,129.58,126.64,0
141,129.81,126.79,0
144,130.09,126.96,0
148,130.45,127.17,0
146,130.76,127.36,0
149,131.12,127.57,0
150,131.50,127.80,0
153,131.93,128.05,0
152,132.33,128.29,0
151,132.71,128.52,0
152,133.09,128.75,0
153,133.49,128.99,0
155,133.92,129.25,0
157,134.38,129.53,0
159,134.87,129.83,0
158,135.34,130.11,0
159,135.81,130.40,0
159,136.27,130.68,0
158,136.71,130.96,0
157,137.11,131.22,0
157,137.51,131.47,0
157,137.90,131.73,0
156,138.26,131.97,0
155,138.60,132.20,0
156,138.95,132.44,0
153,139.23,132.65,0
151,139.46,132.83,0
151,139.69,133.01,0
150,139.90,133.18,0
151,140.12,133.36,0
148,140.28,133.51,0
149,140.45,133.66,0
147,140.58,133.79,0
148,140.73,133.94,0
146,140.84,134.06,0
146,140.94,134.18,0
144,141.00,134.27,0
144,141.06,134.37,0
143,141.10,134.46,0
143,141.14,134.54,0
141,141.14,134.61,0
140,141.11,134.66,0
140,141.09,134.71,0
139,141.05,134.76,0
140,141.03,134.81,0
137,140.95,134.83,0
135,140.83,134.83,0
136,140.73,134.85,0
137,140.66,134.87,0
135,140.54,134.87,0
134,140.41,134.86,0
134,140.29,134.85,0
131,140.10,134.81,0
133,139.96,134.79,0
131,139.78,134.76,0
130,139.58,134.71,0
129,139.37,134.65,0
129,139.16,134.60,0
130,138.98,134.55,0
128,138.76,134.48,0
126,138.51,134.40,0
127,138.28,134.32,0
126,138.03,134.24,0
126,137.79,134.16,0
125,137.53,134.07,0
125,137.28,133.98,0
124,137.02,133.88,0
124,136.76,133.78,0
123,136.48,133.67,0
124,136.23,133.57,0
122,135.95,133.46,0
121,135.65,133.33,0
122,135.38,133.22,0
121,135.09,133.10,0
120,134.79,132.97,0
121,134.51,132.85,0
119,134.20,132.71,0
120,133.92,132.58,0
119,133.62,132.45,0
119,133.33,132.31,0
118,133.02,132.17,0
119,132.74,132.04,0
116,132.40,131.88,0
118,132.12,131.74,0
116,131.79,131.58,0
118,131.52,131.44,1
116,131.21,131.29,2
114,130.86,131.12,2
115,130.55,130.96,2
116,130.26,130.81,2
114,129.93,130.64,2
114,129.61,130.47,2
114,129.30,130.31,2
114,128.99,130.14,2
113,128.67,129.97,2
114,128.38,129.81,2
115,128.11,129.66,2
113,127.81,129.50,2
113,127.51,129.33,2
112,127.20,129.16,2
114,126.94,129.01,2
112,126.64,128.84,2
112,126.35,128.67,2
113,126.08,128.51,2
115,125.86,128.38,2
116,125.66,128.25,2
115,125.45,128.12,2
116,125.26,128.00,2
117,125.09,127.89,2
119,124.97,127.80,2
119,124.85,127.71,2
119,124.74,127.63,2
121,124.66,127.56,2
119,124.55,127.47,2
120,124.46,127.40,2
121,124.39,127.34,2
122,124.34,127.28,2
122,124.29,127.23,2
122,124.25,127.18,2
122,124.20,127.13,2
122,124.16,127.07,2
123,124.14,127.03,2
122,124.09,126.98,2
122,124.05,126.93,2
123,124.03,126.89,2
124,124.03,126.87,2
123,124.01,126.83,2
122,123.97,126.78,2
123,123.95,126.74,2
122,123.91,126.69,2
124,123.91,126.67,2
122,123.87,126.62,2
122,123.84,126.57,2
122,123.80,126.53,2
124,123.80,126.50,2
123,123.79,126.47,2
125,123.81,126.45,2
123,123.80,126.42,2
122,123.76,126.37,2
123,123.74,126.34,2
124,123.75,126.32,2
123,123.73,126.28,2
122,123.70,126.24,2
121,123.65,126.19,2
122,123.61,126.15,2
121,123.56,126.10,2
122,123.53,126.05,2
124,123.54,126.03,2
123,123.53,126.00,2
126,123.58,126.00,2
125,123.61,125.99,2
125,123.63,125.98,2
128,123.72,126.00,2
129,123.83,126.03,2
130,123.95,126.07,2
132,124.11,126.13,2
133,124.29,126.20,2
135,124.50,126.29,2
134,124.69,126.37,2
134,124.88,126.44,2
134,125.06,126.52,2
134,125.24,126.59,2
135,125.44,126.68,2
135,125.63,126.76,2
137,125.85,126.86,2
139,126.12,126.98,2
140,126.40,127.11,2
141,126.69,127.25,2
140,126.95,127.38,2
142,127.25,127.53,2
145,127.61,127.70,2
151,128.08,127.93,2
155,128.62,128.20,2
162,129.28,128.54,2
167,130.04,128.93,2
166,130.76,129.30,2
165,131.44,129.66,2
166,132.13,130.02,2
170,132.89,130.42,2
171,133.65,130.82,2
173,134.44,131.25,2
176,135.27,131.69,2
176,136.09,132.14,2
176,136.88,132.58,2
174,137.63,132.99,2
173,138.33,133.39,2
173,139.03,133.79,2
173,139.71,134.18,2
170,140.31,134.54,2
169,140.89,134.88,2
168,141.43,135.21,2
169,141.98,135.55,2
166,142.46,135.85,2
164,142.89,136.14,2
165,143.33,136.42,2
165,143.77,136.71,2
164,144.17,136.98,2
163,144.55,137.24,2
162,144.90,137.49,2
161,145.22,137.73,2
159,145.49,137.94,2
160,145.78,138.16,2
157,146.01,138.35,2
156,146.21,138.52,2
157,146.42,138.71,2
156,146.62,138.88,2
156,146.80,139.05,2
154,146.95,139.20,2
152,147.05,139.33,2
153,147.17,139.47,2
152,147.26,139.59,2
152,147.36,139.72,2
150,147.41,139.82,2
148,147.42,139.90,2
150,147.48,140.00,2
147,147.47,140.07,2
146,147.44,140.13,2
145,147.39,140.18,2
144,147.32,140.22,2
144,147.25,140.26,2
143,147.17,140.28,2
144,147.11,140.32,2
142,147.00,140.34,2
140,146.86,140.33,2
141,146.75,140.34,2
139,146.59,140.33,2
141,146.48,140.33,2
139,146.33,140.32,2
138,146.16,140.30,2
137,145.98,140.26,2
138,145.82,140.24,2
137,145.64,140.21,2
136,145.45,140.17,2
136,145.26,140.13,2
134,145.04,140.06,2
135,144.84,140.01,2
134,144.62,139.95,2
134,144.41,139.89,2
133,144.18,139.83,2
133,143.95,139.76,2
131,143.70,139.67,2
134,143.50,139.61,2
132,143.27,139.54,2
131,143.03,139.45,2
132,142.81,139.38,2
131,142.57,139.29,2
132,142.36,139.22,2
129,142.09,139.12,2
129,141.83,139.02,2
128,141.55,138.91,2
128,141.28,138.80,2
127,141.00,138.68,2
127,140.72,138.56,2
126,140.42,138.44,2
126,140.13,138.31,2
124,139.81,138.17,2
125,139.51,138.04,2
125,139.22,137.91,2
126,138.96,137.79,2
125,138.68,137.66,2
123,138.37,137.51,2
124,138.08,137.38,2
123,137.78,137.24,2
125,137.52,137.11,2
123,137.23,136.97,2
123,136.95,136.83,3
123,136.67,136.69,4
121,136.36,136.54,4
124,136.11,136.41,4
122,135.83,136.27,4
121,135.53,136.11,4
122,135.26,135.97,4
121,134.97,135.82,4
120,134.67,135.67,4
121,134.40,135.52,4
119,134.09,135.35,4
119,133.79,135.19,4
118,133.47,135.02,4
119,133.19,134.86,4
122,132.96,134.73,4
121,132.72,134.59,4
120,132.47,134.45,4
120,132.22,134.30,4
121,131.99,134.17,4
121,131.77,134.04,4
122,131.58,133.92,4
121,131.37,133.79,4
120,131.14,133.65,4
120,130.92,133.51,4
121,130.72,133.39,4
119,130.48,133.24,4
121,130.29,133.12,4
120,130.09,132.99,4
121,129.91,132.87,4
119,129.69,132.73,4
119,129.48,132.59,4
119,129.27,132.46,4
121,129.10,132.34,4
119,128.90,132.21,4
119,128.70,132.08,4
118,128.49,131.94,4
118,128.28,131.80,4
119,128.09,131.67,4
119,127.91,131.54,4
121,127.77,131.44,4
120,127.62,131.32,4
120,127.46,131.21,4
121,127.33,131.11,4
119,127.17,130.99,4
120,127.02,130.88,4
119,126.86,130.76,4
121,126.75,130.66,4
120,126.61,130.55,4
124,126.56,130.49,4
122,126.47,130.40,4
122,126.38,130.32,4
121,126.27,130.23,4
123,126.21,130.15,4
125,126.18,130.10,4
124,126.14,130.04,4
124,126.10,129.98,4
123,126.03,129.91,4
125,126.01,129.86,4
125,125.99,129.81,4
124,125.95,129.76,4
125,125.93,129.71,4
126,125.93,129.67,4
128,125.98,129.65,4
128,126.02,129.64,4
128,126.06,129.62,4
128,126.10,129.61,4
129,126.15,129.60,4
129,126.21,129.59,4
132,126.33,129.62,4
133,126.46,129.65,4
134,126.61,129.69,4
137,126.82,129.77,4
141,127.10,129.88,4
143,127.42,130.01,4
142,127.71,130.13,4
141,127.98,130.24,4
142,128.26,130.36,4
142,128.53,130.47,4
145,128.86,130.62,4
151,129.30,130.82,4
151,129.74,131.02,4
151,130.16,131.22,4
152,130.60,131.43,4
155,131.09,131.67,4
155,131.57,131.90,4
157,132.08,132.15,5
157,132.57,132.40,5
156,133.04,132.64,5
157,133.52,132.88,5
155,133.95,133.10,5
156,134.39,133.33,5
155,134.80,133.55,5
156,135.23,133.77,5
155,135.62,133.98,5
154,135.99,134.18,5
153,136.33,134.37,5
152,136.64,134.55,5
151,136.93,134.71,5
150,137.19,134.87,5
152,137.49,135.04,5
148,137.70,135.17,5
149,137.93,135.31,5
147,138.11,135.42,5
147,138.28,135.54,5
145,138.42,135.63,5
144,138.53,135.72,5
144,138.64,135.80,5
142,138.71,135.86,5
143,138.79,135.93,5
