Teste de Amostragem 10hz - posicionamento 1(EMG ao centro do bíceps (Vermelho A, Verde B) + Ref no pulso) - 19/10/2024 - teste1 - 5 contrações
long frequencia = 100;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
102,2.04,1.02,0
102,4.04,2.03,0
101,5.98,3.02,0
101,7.88,4.00,0
103,9.78,4.99,0
100,11.59,5.94,0
100,13.35,6.88,0
99,15.07,7.80,0
99,16.75,8.71,0
99,18.39,9.62,0
98,19.98,10.50,0
97,21.52,11.36,0
97,23.03,12.22,0
98,24.53,13.08,0
97,25.98,13.92,0
96,27.38,14.74,0
96,28.75,15.55,0
96,30.10,16.36,0
95,31.40,17.14,0
95,32.67,17.92,0
97,33.96,18.71,0
95,35.18,19.47,0
94,36.35,20.22,0
93,37.49,20.95,0
96,38.66,21.70,0
93,39.74,22.41,0
92,40.79,23.11,0
93,41.83,23.81,0
91,42.82,24.48,0
94,43.84,25.17,0
91,44.78,25.83,0
92,45.73,26.49,0
91,46.63,27.14,0
92,47.54,27.79,0
91,48.41,28.42,0
90,49.24,29.03,0
89,50.04,29.63,0
90,50.84,30.24,0
91,51.64,30.85,0
91,52.43,31.45,0
92,53.22,32.05,0
91,53.97,32.64,0
89,54.67,33.21,0
89,55.36,33.76,0
90,56.05,34.33,0
90,56.73,34.88,0
89,57.38,35.42,0
89,58.01,35.96,0
90,58.65,36.50,0
89,59.26,37.03,0
90,59.87,37.56,0
89,60.45,38.07,0
90,61.04,38.59,0
91,61.64,39.11,0
91,62.23,39.63,0
94,62.87,40.18,0
91,63.43,40.68,0
92,64.00,41.20,0
91,64.54,41.69,0
91,65.07,42.19,0
93,65.63,42.70,0
92,66.16,43.19,0
93,66.69,43.69,0
94,67.24,44.19,0
95,67.79,44.70,0
94,68.32,45.19,0
96,68.87,45.70,0
94,69.37,46.18,0
95,69.89,46.67,0
95,70.39,47.15,0
97,70.92,47.65,0
96,71.42,48.14,0
97,71.93,48.62,0
96,72.42,49.10,0
100,72.97,49.61,0
99,73.49,50.10,0
99,74.00,50.59,0
99,74.50,51.07,0
102,75.05,51.58,0
103,75.61,52.10,0
106,76.22,52.64,0
107,76.83,53.18,0
106,77.41,53.71,0
109,78.05,54.26,0
111,78.71,54.83,0
113,79.39,55.41,0
113,80.06,55.99,0
113,80.72,56.56,0
115,81.41,57.14,0
119,82.16,57.76,0
120,82.92,58.38,0
123,83.72,59.03,0
123,84.50,59.67,0
122,85.25,60.29,0
127,86.09,60.96,0
128,86.93,61.63,0
129,87.77,62.30,0
130,88.61,62.98,0
131,89.46,63.66,0
134,90.35,64.36,0
137,91.28,65.09,0
140,92.26,65.84,0
142,93.25,66.60,0
146,94.31,67.39,0
148,95.38,68.20,0
150,96.47,69.02,0
151,97.57,69.84,0
151,98.63,70.65,0
151,99.68,71.45,0
155,100.79,72.29,0
158,101.93,73.15,0
163,103.15,74.04,0
165,104.39,74.95,0
163,105.56,75.83,0
164,106.73,76.72,0
168,107.96,77.63,0
172,109.24,78.57,0
170,110.45,79.49,0
168,111.60,80.37,0
168,112.73,81.25,0
167,113.82,82.11,0
167,114.88,82.95,0
164,115.86,83.77,0
164,116.83,84.57,0
162,117.73,85.34,0
161,118.59,86.10,0
160,119.42,86.84,0
160,120.23,87.57,0
157,120.97,88.26,0
156,121.67,88.94,0
155,122.34,89.60,0
154,122.97,90.25,0
153,123.57,90.87,0
151,124.12,91.47,0
151,124.66,92.07,0
149,125.14,92.64,0
149,125.62,93.20,0
146,126.03,93.73,0
145,126.41,94.24,0
143,126.74,94.73,0
143,127.06,95.21,0
142,127.36,95.68,0
141,127.64,96.13,0
141,127.90,96.58,0
138,128.11,97.00,0
139,128.32,97.42,0
138,128.52,97.82,0
138,128.71,98.22,0
135,128.83,98.59,0
136,128.98,98.97,0
135,129.10,99.33,0
133,129.17,99.66,0
133,129.25,100.00,0
133,129.33,100.33,0
131,129.36,100.63,0
130,129.37,100.93,0
130,129.38,101.22,0
129,129.38,101.50,0
129,129.37,101.77,0
128,129.34,102.03,0
128,129.32,102.29,0
126,129.25,102.53,0
127,129.20,102.77,0
125,129.12,103.00,0
123,129.00,103.20,0
124,128.90,103.41,0
123,128.78,103.60,0
123,128.66,103.80,0
122,128.53,103.98,0
120,128.36,104.14,0
120,128.19,104.30,0
119,128.01,104.44,0
120,127.85,104.60,0
119,127.67,104.74,0
118,127.48,104.88,0
117,127.27,105.00,0
116,127.04,105.11,0
118,126.86,105.24,0
116,126.65,105.34,0
115,126.41,105.44,0
115,126.18,105.54,0
114,125.94,105.62,0
115,125.72,105.71,0
112,125.45,105.78,0
112,125.18,105.84,0
112,124.91,105.90,0
112,124.66,105.96,0
111,124.38,106.01,0
110,124.10,106.05,0
109,123.79,106.08,0
110,123.52,106.12,0
109,123.23,106.15,0
108,122.92,106.17,0
109,122.64,106.20,0
107,122.33,106.20,0
107,122.03,106.21,0
107,121.72,106.22,0
107,121.43,106.23,0
107,121.14,106.24,0
106,120.84,106.23,0
106,120.54,106.23,0
108,120.29,106.25,0
105,119.99,106.24,0
103,119.65,106.20,0
104,119.33,106.18,0
103,119.01,106.15,0
103,118.69,106.12,0
103,118.37,106.09,0
105,118.10,106.08,0
103,117.80,106.05,0
105,117.55,106.03,0
105,117.30,106.02,0
106,117.07,106.02,0
105,116.83,106.01,0
104,116.57,105.99,0
105,116.34,105.98,0
105,116.11,105.97,0
108,115.95,105.99,0
106,115.75,105.99,0
106,115.56,105.99,0
107,115.39,106.00,0
108,115.24,106.02,0
108,115.09,106.04,0
109,114.97,106.07,0
108,114.83,106.09,0
108,114.70,106.11,0
108,114.56,106.13,0
107,114.41,106.14,0
109,114.30,106.17,0
107,114.16,106.18,0
109,114.05,106.20,0
111,113.99,106.25,0
110,113.91,106.29,0
112,113.87,106.35,0
112,113.84,106.40,0
113,113.82,106.47,0
114,113.82,106.55,0
114,113.83,106.62,0
114,113.83,106.69,0
114,113.83,106.77,0
116,113.88,106.86,0
116,113.92,106.95,0
116,113.96,107.04,0
118,114.04,107.15,0
119,114.14,107.27,0
118,114.22,107.38,0
121,114.35,107.51,0
123,114.53,107.67,0
125,114.74,107.84,0
124,114.92,108.00,0
124,115.10,108.16,0
