Biceps D Eletrodo vermelho mais próximo ao cotovelo - 12/03/2024 - teste3 - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
133,2.66,1.33,0
133,5.27,2.65,0
130,7.76,3.92,0
134,10.29,5.22,0
134,12.76,6.51,0
131,15.13,7.75,0
133,17.48,9.01,0
134,19.81,10.26,0
135,22.12,11.50,0
132,24.31,12.71,0
131,26.45,13.89,0
131,28.54,15.06,0
135,30.67,16.26,0
132,32.70,17.42,0
132,34.68,18.57,0
133,36.65,19.71,0
135,38.61,20.86,0
137,40.58,22.02,0
130,42.37,23.10,0
132,44.16,24.19,0
137,46.02,25.32,0
135,47.80,26.42,0
130,49.44,27.45,0
131,51.07,28.49,0
131,52.67,29.51,0
134,54.30,30.56,0
135,55.91,31.60,0
137,57.54,32.66,0
132,59.02,33.65,0
131,60.46,34.62,0
133,61.92,35.61,0
140,63.48,36.65,0
133,64.87,37.62,0
132,66.21,38.56,0
131,67.51,39.48,0
136,68.88,40.45,0
133,70.16,41.37,0
133,71.41,42.29,0
133,72.65,43.20,0
133,73.85,44.10,0
137,75.12,45.02,0
131,76.23,45.88,0
133,77.37,46.76,0
135,78.52,47.64,0
134,79.63,48.50,0
137,80.78,49.39,0
131,81.78,50.20,0
133,82.81,51.03,0
133,83.81,51.85,0
135,84.84,52.68,0
130,85.74,53.45,0
130,86.62,54.22,0
131,87.51,54.99,0
137,88.50,55.81,0
141,89.55,56.66,0
134,90.44,57.43,0
131,91.25,58.17,0
131,92.05,58.90,0
137,92.95,59.68,0
136,93.81,60.44,0
131,94.55,61.15,0
132,95.30,61.86,0
134,96.07,62.58,0
136,96.87,63.31,0
132,97.57,64.00,0
133,98.28,64.69,0
131,98.94,65.35,0
134,99.64,66.04,0
139,100.43,66.77,0
131,101.04,67.41,0
133,101.68,68.07,0
133,102.30,68.72,0
