Biceps D Eletrodo vermelho mais próximo ao ombro, verde mais ao meio do músculo - 18/03/2024 - teste1 - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
72,1.44,0.72,0
73,2.87,1.44,0
72,4.25,2.15,0
72,5.61,2.85,0
72,6.94,3.54,0
73,8.26,4.23,0
73,9.55,4.92,0
73,10.82,5.60,0
73,12.07,6.28,0
72,13.26,6.93,0
72,14.44,7.58,0
73,15.61,8.24,0
73,16.76,8.89,0
73,17.88,9.53,0
72,18.96,10.15,0
72,20.03,10.77,0
72,21.07,11.38,0
73,22.10,12.00,0
72,23.10,12.60,0
72,24.08,13.19,0
72,25.04,13.78,0
72,25.98,14.36,0
72,26.90,14.94,0
72,27.80,15.51,0
72,28.68,16.07,0
72,29.55,16.63,0
72,30.40,17.19,0
72,31.23,17.74,0
74,32.09,18.30,0
72,32.88,18.83,0
72,33.67,19.37,0
73,34.45,19.90,0
74,35.24,20.44,0
72,35.98,20.96,0
72,36.70,21.47,0
72,37.41,21.98,0
73,38.12,22.49,0
72,38.80,22.98,0
72,39.46,23.47,0
71,40.09,23.95,0
72,40.73,24.43,0
72,41.35,24.90,0
72,41.97,25.37,0
73,42.59,25.85,0
72,43.18,26.31,0
72,43.75,26.77,0
72,44.32,27.22,0
74,44.91,27.69,0
71,45.43,28.12,0
72,45.96,28.56,0
76,46.56,29.03,0
72,47.07,29.46,0
72,47.57,29.89,0
72,48.06,30.31,0
72,48.54,30.73,0
72,49.01,31.14,0
72,49.47,31.55,0
72,49.92,31.95,0
71,50.34,32.34,0
72,50.77,32.74,0
72,51.20,33.13,0
72,51.61,33.52,0
72,52.02,33.91,0
72,52.42,34.29,0
72,52.81,34.66,0
72,53.20,35.04,0
71,53.55,35.40,0
72,53.92,35.76,0
72,54.28,36.13,0
72,54.64,36.48,0
72,54.99,36.84,0
72,55.33,37.19,0
73,55.68,37.55,0
72,56.01,37.89,0
72,56.33,38.23,0
72,56.64,38.57,0
74,56.99,38.93,0
72,57.29,39.26,0
72,57.58,39.59,0
74,57.91,39.93,0
73,58.21,40.26,0
72,58.49,40.58,0
72,58.76,40.89,0
72,59.02,41.20,0
73,59.30,41.52,0
72,59.56,41.83,0
72,59.80,42.13,0
73,60.07,42.44,0
74,60.35,42.75,0
72,60.58,43.04,0
72,60.81,43.33,0
72,61.03,43.62,0
72,61.25,43.90,0
72,61.47,44.18,0
72,61.68,44.46,0
72,61.88,44.74,0
72,62.09,45.01,0
72,62.28,45.28,0
74,62.52,45.57,0
72,62.71,45.83,0
73,62.91,46.10,0
72,63.10,46.36,0
72,63.27,46.62,0
73,63.47,46.88,0
72,63.64,47.13,0
72,63.81,47.38,0
72,63.97,47.63,0
