Biceps D Eletrodo vermelho próximo ao ombro ao lado do verde, Verde no meio - 12/03/2024 - teste1 - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
68,1.36,0.68,0
69,2.71,1.36,0
67,4.00,2.02,0
67,5.26,2.67,0
67,6.49,3.31,0
67,7.70,3.95,0
69,8.93,4.60,0
69,10.13,5.24,0
67,11.27,5.86,0
66,12.36,6.46,0
67,13.46,7.07,0
67,14.53,7.67,0
68,15.60,8.27,0
67,16.62,8.86,0
67,17.63,9.44,0
67,18.62,10.02,0
67,19.59,10.59,0
67,20.53,11.15,0
67,21.46,11.71,0
67,22.37,12.26,0
68,23.29,12.82,0
66,24.14,13.35,0
67,25.00,13.89,0
67,25.84,14.42,0
68,26.68,14.95,0
67,27.49,15.47,0
68,28.30,16.00,0
67,29.07,16.51,0
68,29.85,17.02,0
68,30.61,17.53,0
67,31.34,18.03,0
67,32.06,18.52,0
68,32.77,19.01,0
67,33.46,19.49,0
67,34.13,19.97,0
67,34.79,20.44,0
66,35.41,20.89,0
68,36.06,21.36,0
68,36.70,21.83,0
68,37.33,22.29,0
66,37.90,22.73,0
67,38.48,23.17,0
67,39.05,23.61,0
68,39.63,24.05,0
66,40.16,24.47,0
67,40.70,24.90,0
67,41.22,25.32,0
67,41.74,25.74,0
66,42.22,26.14,0
67,42.72,26.55,0
67,43.20,26.95,0
66,43.66,27.34,0
68,44.15,27.75,0
66,44.58,28.13,0
67,45.03,28.52,0
67,45.47,28.91,0
68,45.92,29.30,0
68,46.36,29.68,0
68,46.80,30.07,0
66,47.18,30.43,0
66,47.56,30.78,0
66,47.93,31.13,0
68,48.33,31.50,0
67,48.70,31.86,0
66,49.05,32.20,0
66,49.39,32.54,0
68,49.76,32.89,0
68,50.12,33.24,0
66,50.44,33.57,0
67,50.77,33.91,0
67,51.10,34.24,0
68,51.43,34.57,0
66,51.73,34.89,0
66,52.01,35.20,0
67,52.31,35.52,0
67,52.60,35.83,0
66,52.87,36.13,0
66,53.14,36.43,0
67,53.41,36.74,0
66,53.66,37.03,0
66,53.91,37.32,0
67,54.17,37.62,0
67,54.43,37.91,0
66,54.66,38.19,0
66,54.89,38.47,0
67,55.13,38.76,0
66,55.35,39.03,0
67,55.58,39.31,0
70,55.87,39.61,0
66,56.07,39.88,0
66,56.27,40.14,0
68,56.50,40.42,0
66,56.69,40.67,0
66,56.88,40.93,0
66,57.06,41.18,0
66,57.24,41.43,0
63,57.36,41.64,0
66,57.53,41.89,0
67,57.72,42.14,0
66,57.88,42.38,0
66,58.05,42.61,0
67,58.23,42.86,0
66,58.38,43.09,0
68,58.57,43.34,0
64,58.68,43.54,0
67,58.85,43.78,0
68,59.03,44.02,0
68,59.21,44.26,0
66,59.35,44.48,0
67,59.50,44.70,0
68,59.67,44.93,0
66,59.80,45.15,0
66,59.92,45.35,0
66,60.04,45.56,0
67,60.18,45.77,0
66,60.30,45.98,0
66,60.41,46.18,0
68,60.56,46.40,0
68,60.71,46.61,0
66,60.82,46.81,0
66,60.92,47.00,0
66,61.02,47.19,0
67,61.14,47.39,0
66,61.24,47.57,0
66,61.34,47.76,0
66,61.43,47.94,0
66,61.52,48.12,0
66,61.61,48.30,0
66,61.70,48.47,0
66,61.78,48.65,0
66,61.87,48.82,0
66,61.95,49.00,0
66,62.03,49.17,0
66,62.11,49.33,0
66,62.19,49.50,0
66,62.26,49.67,0
66,62.34,49.83,0
66,62.41,49.99,0
67,62.50,50.16,0
65,62.55,50.31,0
66,62.62,50.47,0
66,62.69,50.62,0
66,62.76,50.77,0
66,62.82,50.93,0
66,62.89,51.08,0
66,62.95,51.23,0
66,63.01,51.37,0
66,63.07,51.52,0
66,63.13,51.67,0
66,63.18,51.81,0
68,63.28,51.97,0
66,63.34,52.11,0
66,63.39,52.25,0
66,63.44,52.39,0
66,63.49,52.52,0
66,63.54,52.66,0
66,63.59,52.79,0
65,63.62,52.91,0
67,63.69,53.06,0
66,63.73,53.18,0
66,63.78,53.31,0
66,63.82,53.44,0
67,63.89,53.58,0
66,63.93,53.70,0
66,63.97,53.82,0
66,64.01,53.94,0
67,64.07,54.07,0
66,64.11,54.19,0
66,64.15,54.31,0
65,64.16,54.42,0
66,64.20,54.53,0
66,64.24,54.65,0
66,64.27,54.76,0
66,64.31,54.88,0
68,64.38,55.01,0
66,64.41,55.12,0
66,64.44,55.23,0
66,64.48,55.33,0
67,64.53,55.45,0
66,64.56,55.56,0
66,64.58,55.66,0
66,64.61,55.76,0
67,64.66,55.88,0
66,64.69,55.98,0
66,64.71,56.08,0
66,64.74,56.18,0
66,64.76,56.27,0
66,64.79,56.37,0
66,64.81,56.47,0
66,64.84,56.56,0
66,64.86,56.66,0
68,64.92,56.77,0
65,64.92,56.85,0
66,64.95,56.94,0
66,64.97,57.04,0
