Biceps D- Belly-tendon montage (Logullo F) + neutro no cotovelo - 19/03/2024 - teste2(Nicolle) - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
120,2.40,1.20,0
120,4.75,2.39,0
121,7.08,3.57,0
122,9.38,4.76,0
121,11.61,5.92,0
120,13.78,7.06,0
121,15.92,8.20,0
121,18.02,9.33,0
121,20.08,10.45,0
120,22.08,11.54,0
120,24.04,12.63,0
121,25.98,13.71,0
121,27.88,14.78,0
122,29.76,15.85,0
121,31.59,16.91,0
121,33.37,17.95,0
121,35.13,18.98,0
121,36.84,20.00,0
121,38.53,21.01,0
121,40.18,22.01,0
121,41.79,23.00,0
121,43.38,23.98,0
122,44.95,24.96,0
121,46.47,25.92,0
121,47.96,26.87,0
121,49.42,27.81,0
121,50.85,28.74,0
121,52.26,29.66,0
121,53.63,30.58,0
121,54.98,31.48,0
122,56.32,32.39,0
120,57.59,33.26,0
121,58.86,34.14,0
121,60.10,35.01,0
120,61.30,35.86,0
121,62.50,36.71,0
121,63.67,37.55,0
121,64.81,38.39,0
121,65.94,39.21,0
121,67.04,40.03,0
121,68.12,40.84,0
121,69.17,41.64,0
121,70.21,42.44,0
121,71.23,43.22,0
121,72.22,44.00,0
121,73.20,44.77,0
121,74.15,45.53,0
121,75.09,46.29,0
121,76.01,47.03,0
121,76.91,47.77,0
121,77.79,48.51,0
121,78.65,49.23,0
120,79.48,49.94,0
121,80.31,50.65,0
121,81.13,51.35,0
120,81.90,52.04,0
121,82.68,52.73,0
121,83.45,53.41,0
121,84.20,54.09,0
122,84.96,54.77,0
121,85.68,55.43,0
121,86.39,56.09,0
121,87.08,56.73,0
121,87.76,57.38,0
121,88.42,58.01,0
121,89.07,58.64,0
121,89.71,59.27,0
121,90.34,59.88,0
122,90.97,60.51,0
121,91.57,61.11,0
123,92.20,61.73,0
121,92.78,62.32,0
121,93.34,62.91,0
121,93.89,63.49,0
121,94.44,64.06,0
121,94.97,64.63,0
121,95.49,65.20,0
121,96.00,65.76,0
124,96.56,66.34,0
121,97.05,66.88,0
121,97.53,67.43,0
122,98.01,67.97,0
121,98.47,68.50,0
121,98.93,69.03,0
121,99.37,69.55,0
122,99.82,70.07,0
122,100.26,70.59,0
121,100.68,71.09,0
119,101.04,71.57,0
120,101.42,72.06,0
123,101.85,72.57,0
120,102.22,73.04,0
121,102.59,73.52,0
120,102.94,73.99,0
121,103.30,74.46,0
120,103.64,74.91,0
121,103.98,75.37,0
121,104.32,75.83,0
121,104.66,76.28,0
120,104.96,76.72,0
121,105.29,77.16,0
120,105.58,77.59,0
122,105.91,78.03,0
120,106.19,78.45,0
121,106.49,78.88,0
120,106.76,79.29,0
121,107.04,79.71,0
122,107.34,80.13,0
121,107.61,80.54,0
121,107.88,80.94,0
121,108.14,81.34,0
120,108.38,81.73,0
121,108.63,82.12,0
120,108.86,82.50,0
120,109.08,82.88,0
120,109.30,83.25,0
121,109.54,83.62,0
121,109.76,84.00,0
123,110.03,84.39,0
120,110.23,84.74,0
121,110.44,85.11,0
122,110.68,85.48,0
122,110.90,85.84,0
121,111.10,86.19,0
121,111.30,86.54,0
120,111.48,86.88,0
121,111.67,87.22,0
120,111.83,87.54,0
121,112.02,87.88,0
122,112.22,88.22,0
120,112.37,88.54,0
120,112.52,88.85,0
122,112.71,89.18,0
120,112.86,89.49,0
121,113.02,89.81,0
122,113.20,90.13,0
121,113.36,90.44,0
122,113.53,90.75,0
121,113.68,91.06,0
120,113.81,91.35,0
120,113.93,91.63,0
121,114.07,91.93,0
121,114.21,92.22,0
120,114.33,92.49,0
121,114.46,92.78,0
120,114.57,93.05,0
122,114.72,93.34,0
120,114.82,93.61,0
121,114.95,93.88,0
122,115.09,94.16,0
121,115.21,94.43,0
120,115.30,94.69,0
121,115.42,94.95,0
120,115.51,95.20,0
121,115.62,95.46,0
120,115.71,95.70,0
121,115.81,95.96,0
120,115.90,96.20,0
121,116.00,96.45,0
120,116.08,96.68,0
120,116.16,96.91,0
122,116.27,97.17,0
121,116.37,97.40,0
121,116.46,97.64,0
121,116.55,97.87,0
120,116.62,98.09,0
121,116.71,98.32,0
120,116.77,98.54,0
120,116.84,98.75,0
121,116.92,98.98,0
121,117.00,99.20,0
120,117.06,99.41,0
120,117.12,99.61,0
120,117.18,99.82,0
122,117.28,100.04,0
121,117.35,100.25,0
122,117.44,100.46,0
121,117.51,100.67,0
121,117.58,100.87,0
121,117.65,101.07,0
121,117.72,101.27,0
122,117.81,101.48,0
122,117.89,101.69,0
121,117.95,101.88,0
121,118.01,102.07,0
121,118.07,102.26,0
121,118.13,102.45,0
121,118.19,102.63,0
121,118.24,102.82,0
121,118.30,103.00,0
121,118.35,103.18,0
121,118.41,103.36,0
121,118.46,103.53,0
121,118.51,103.71,0
121,118.56,103.88,0
121,118.61,104.05,0
121,118.66,104.22,0
122,118.72,104.40,0
121,118.77,104.56,0
121,118.81,104.73,0
120,118.84,104.88,0
121,118.88,105.04,0
121,118.92,105.20,0
121,118.96,105.36,0
122,119.02,105.53,0
121,119.06,105.68,0
121,119.10,105.83,0
122,119.16,106.00,0
121,119.20,106.15,0
120,119.21,106.29,0
121,119.25,106.43,0
121,119.28,106.58,0
121,119.32,106.72,0
121,119.35,106.86,0
122,119.40,107.02,0
121,119.44,107.16,0
121,119.47,107.29,0
121,119.50,107.43,0
121,119.53,107.57,0
121,119.56,107.70,0
121,119.59,107.83,0
121,119.62,107.97,0
121,119.64,108.10,0
121,119.67,108.23,0
121,119.70,108.35,0
121,119.72,108.48,0
121,119.75,108.61,0
121,119.77,108.73,0
121,119.80,108.85,0
121,119.82,108.97,0
121,119.85,109.09,0
121,119.87,109.21,0
121,119.89,109.33,0
121,119.91,109.45,0
121,119.94,109.56,0
120,119.94,109.67,0
121,119.96,109.78,0
122,120.00,109.90,0
121,120.02,110.01,0
121,120.04,110.12,0
121,120.06,110.23,0
121,120.08,110.34,0
121,120.09,110.45,0
121,120.11,110.55,0
