Biceps D- Belly-tendon montage (Logullo F) + neutro no pulso - 19/03/2024 - teste1 - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
81,1.62,0.81,0
83,3.25,1.63,0
82,4.82,2.44,0
81,6.35,3.22,0
81,7.84,4.00,0
81,9.30,4.77,0
83,10.78,5.55,0
83,12.22,6.33,0
80,13.58,7.06,0
81,14.92,7.80,0
81,16.25,8.53,0
81,17.54,9.26,0
81,18.81,9.98,0
82,20.07,10.70,0
81,21.29,11.40,0
80,22.47,12.09,0
83,23.68,12.79,0
82,24.84,13.49,0
79,25.93,14.14,0
80,27.01,14.80,0
82,28.11,15.47,0
80,29.15,16.12,0
81,30.18,16.77,0
80,31.18,17.40,0
80,32.16,18.02,0
82,33.15,18.66,0
82,34.13,19.30,0
82,35.09,19.92,0
79,35.97,20.52,0
80,36.85,21.11,0
82,37.75,21.72,0
82,38.63,22.32,0
80,39.46,22.90,0
80,40.27,23.47,0
84,41.15,24.08,0
81,41.94,24.64,0
80,42.71,25.20,0
79,43.43,25.74,0
79,44.14,26.27,0
82,44.90,26.83,0
80,45.60,27.36,0
79,46.27,27.87,0
79,46.92,28.39,0
81,47.61,28.91,0
80,48.25,29.42,0
80,48.89,29.93,0
80,49.51,30.43,0
79,50.10,30.91,0
80,50.70,31.41,0
80,51.28,31.89,0
80,51.86,32.37,0
79,52.40,32.84,0
81,52.97,33.32,0
78,53.47,33.77,0
79,53.98,34.22,0
80,54.51,34.68,0
79,54.99,35.12,0
80,55.50,35.57,0
81,56.01,36.02,0
80,56.49,36.46,0
80,56.96,36.90,0
79,57.40,37.32,0
81,57.87,37.76,0
81,58.33,38.19,0
79,58.74,38.60,0
78,59.13,38.99,0
81,59.57,39.41,0
80,59.98,39.82,0
80,60.38,40.22,0
79,60.75,40.61,0
79,61.11,40.99,0
81,61.51,41.39,0
78,61.84,41.76,0
78,62.16,42.12,0
78,62.48,42.48,0
80,62.83,42.85,0
78,63.13,43.20,0
79,63.45,43.56,0
79,63.76,43.92,0
79,64.07,44.27,0
79,64.37,44.62,0
79,64.66,44.96,0
79,64.95,45.30,0
78,65.21,45.63,0
80,65.50,45.97,0
79,65.77,46.30,0
79,66.04,46.63,0
78,66.28,46.94,0
78,66.51,47.25,0
78,66.74,47.56,0
79,66.99,47.87,0
79,67.23,48.19,0
78,67.44,48.48,0
80,67.69,48.80,0
79,67.92,49.10,0
78,68.12,49.39,0
78,68.32,49.68,0
78,68.51,49.96,0
79,68.72,50.25,0
78,68.91,50.53,0
77,69.07,50.79,0
78,69.25,51.06,0
79,69.44,51.34,0
