Biceps D- Belly-tendon montage (Logullo F) + neutro no pulso - 19/03/2024 - teste2(Nicolle) - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
106,2.12,1.06,0
107,4.22,2.12,0
106,6.25,3.16,0
108,8.29,4.21,0
108,10.28,5.24,0
107,12.22,6.26,0
107,14.11,7.27,0
106,15.95,8.26,0
107,17.77,9.24,0
107,19.56,10.22,0
106,21.28,11.18,0
107,23.00,12.14,0
106,24.66,13.08,0
107,26.31,14.02,0
106,27.90,14.94,0
106,29.46,15.85,0
106,30.99,16.75,0
106,32.49,17.64,0
107,33.98,18.53,0
107,35.44,19.42,0
105,36.83,20.27,0
105,38.20,21.12,0
106,39.55,21.97,0
109,40.94,22.84,0
105,42.22,23.66,0
106,43.50,24.49,0
106,44.75,25.30,0
105,45.95,26.10,0
105,47.14,26.89,0
105,48.29,27.67,0
106,49.45,28.45,0
106,50.58,29.23,0
105,51.67,29.98,0
105,52.73,30.73,0
106,53.80,31.49,0
105,54.82,32.22,0
105,55.83,32.95,0
105,56.81,33.67,0
106,57.79,34.39,0
105,58.74,35.10,0
106,59.68,35.81,0
105,60.59,36.50,0
105,61.48,37.19,0
106,62.37,37.87,0
105,63.22,38.55,0
105,64.06,39.21,0
105,64.87,39.87,0
106,65.70,40.53,0
105,66.48,41.17,0
106,67.27,41.82,0
104,68.01,42.44,0
103,68.71,43.05,0
105,69.43,43.67,0
104,70.13,44.27,0
104,70.80,44.87,0
105,71.49,45.47,0
105,72.16,46.07,0
105,72.81,46.66,0
105,73.46,47.24,0
105,74.09,47.82,0
104,74.69,48.38,0
105,75.29,48.94,0
104,75.87,49.50,0
104,76.43,50.04,0
105,77.00,50.59,0
106,77.58,51.14,0
105,78.13,51.68,0
104,78.65,52.21,0
104,79.15,52.72,0
104,79.65,53.24,0
104,80.14,53.74,0
104,80.61,54.25,0
104,81.08,54.74,0
105,81.56,55.25,0
104,82.01,55.73,0
104,82.45,56.22,0
104,82.88,56.69,0
104,83.30,57.17,0
104,83.72,57.64,0
104,84.12,58.10,0
104,84.52,58.56,0
104,84.91,59.01,0
104,85.29,59.46,0
104,85.67,59.91,0
104,86.03,60.35,0
104,86.39,60.79,0
104,86.74,61.22,0
105,87.11,61.66,0
103,87.43,62.07,0
103,87.74,62.48,0
104,88.06,62.89,0
104,88.38,63.30,0
103,88.67,63.70,0
103,88.96,64.09,0
104,89.26,64.49,0
104,89.56,64.89,0
103,89.83,65.27,0
103,90.09,65.65,0
103,90.35,66.02,0
103,90.60,66.39,0
103,90.85,66.76,0
104,91.11,67.13,0
103,91.35,67.49,0
103,91.58,67.84,0
103,91.81,68.19,0
103,92.03,68.54,0
103,92.25,68.89,0
103,92.47,69.23,0
103,92.68,69.57,0
101,92.85,69.88,0
103,93.05,70.21,0
103,93.25,70.54,0
102,93.42,70.85,0
104,93.63,71.19,0
102,93.80,71.49,0
101,93.95,71.79,0
103,94.13,72.10,0
103,94.30,72.41,0
103,94.48,72.72,0
103,94.65,73.02,0
102,94.80,73.31,0
103,94.96,73.61,0
102,95.10,73.89,0
102,95.24,74.17,0
101,95.35,74.44,0
102,95.49,74.71,0
102,95.62,74.99,0
101,95.72,75.25,0
101,95.83,75.50,0
102,95.95,75.77,0
102,96.07,76.03,0
103,96.21,76.30,0
101,96.31,76.55,0
101,96.40,76.79,0
101,96.49,77.04,0
101,96.58,77.27,0
101,96.67,77.51,0
101,96.76,77.75,0
102,96.86,77.99,0
101,96.95,78.22,0
101,97.03,78.45,0
101,97.11,78.67,0
101,97.19,78.90,0
103,97.30,79.14,0
102,97.40,79.37,0
102,97.49,79.59,0
102,97.58,79.82,0
101,97.65,80.03,0
101,97.71,80.24,0
103,97.82,80.47,0
102,97.90,80.68,0
101,97.96,80.88,0
101,98.03,81.09,0
101,98.08,81.28,0
101,98.14,81.48,0
101,98.20,81.68,0
101,98.26,81.87,0
