Biceps D- Middle of muscle belly (Woensel W. van) + neutro no cotovelo - 19/03/2024 - teste1 - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
129,2.58,1.29,0
131,5.15,2.59,0
131,7.67,3.87,0
133,10.17,5.16,0
133,12.63,6.44,0
131,15.00,7.69,0
130,17.30,8.91,0
132,19.59,10.14,0
133,21.86,11.37,0
132,24.06,12.58,0
130,26.18,13.75,0
129,28.24,14.90,0
129,30.25,16.04,0
131,32.27,17.19,0
130,34.22,18.32,0
129,36.12,19.43,0
129,37.97,20.52,0
132,39.86,21.64,0
132,41.70,22.74,0
129,43.44,23.80,0
130,45.18,24.87,0
133,46.93,25.95,0
130,48.59,26.99,0
131,50.24,28.03,0
130,51.84,29.05,0
131,53.42,30.07,0
131,54.97,31.08,0
130,56.47,32.07,0
131,57.96,33.06,0
129,59.38,34.01,0
133,60.86,35.00,0
131,62.26,35.96,0
131,63.63,36.91,0
130,64.96,37.85,0
133,66.32,38.80,0
132,67.63,39.73,0
132,68.92,40.65,0
129,70.12,41.54,0
135,71.42,42.47,0
133,72.65,43.38,0
131,73.82,44.25,0
129,74.92,45.10,0
129,76.00,45.94,0
132,77.12,46.80,0
131,78.20,47.64,0
131,79.26,48.47,0
130,80.27,49.29,0
132,81.31,50.12,0
131,82.30,50.93,0
132,83.30,51.74,0
130,84.23,52.52,0
133,85.20,53.32,0
130,86.10,54.09,0
132,87.02,54.87,0
131,87.90,55.63,0
131,88.76,56.38,0
131,89.61,57.13,0
131,90.43,57.87,0
132,91.26,58.61,0
129,92.02,59.31,0
133,92.84,60.05,0
133,93.64,60.78,0
131,94.39,61.48,0
132,95.14,62.19,0
135,95.94,62.92,0
131,96.64,63.60,0
131,97.33,64.27,0
131,98.00,64.94,0
134,98.72,65.63,0
132,99.39,66.29,0
131,100.02,66.94,0
131,100.64,67.58,0
130,101.23,68.20,0
132,101.84,68.84,0
130,102.40,69.45,0
130,102.96,70.06,0
130,103.50,70.66,0
133,104.09,71.28,0
131,104.63,71.88,0
130,105.13,72.46,0
130,105.63,73.04,0
133,106.18,73.64,0
130,106.65,74.20,0
131,107.14,74.77,0
130,107.60,75.32,0
134,108.13,75.91,0
132,108.60,76.47,0
130,109.03,77.00,0
132,109.49,77.55,0
132,109.94,78.10,0
131,110.36,78.63,0
130,110.75,79.14,0
130,111.14,79.65,0
133,111.58,80.18,0
131,111.97,80.69,0
132,112.37,81.20,0
130,112.72,81.69,0
134,113.14,82.21,0
132,113.52,82.71,0
130,113.85,83.19,0
131,114.19,83.66,0
134,114.59,84.17,0
132,114.94,84.65,0
130,115.24,85.10,0
130,115.53,85.55,0
134,115.90,86.03,0
132,116.23,86.49,0
131,116.52,86.94,0
130,116.79,87.37,0
134,117.14,87.83,0
132,117.43,88.28,0
130,117.68,88.69,0
130,117.93,89.11,0
134,118.25,89.56,0
134,118.57,90.00,0
130,118.80,90.40,0
130,119.02,90.80,0
134,119.32,91.23,0
