Biceps D- Middle of muscle belly (Woensel W. van) + neutro no cotovelo - 19/03/2024 - teste2(Nicolle) - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
137,2.74,1.37,0
136,5.41,2.72,0
136,8.02,4.05,0
136,10.58,5.37,0
138,13.13,6.69,0
136,15.58,7.99,0
136,17.99,9.27,0
136,20.35,10.54,0
136,22.66,11.79,0
136,24.93,13.03,0
136,27.15,14.26,0
136,29.33,15.48,0
136,31.46,16.68,0
136,33.55,17.88,0
136,35.60,19.06,0
136,37.61,20.23,0
136,39.58,21.39,0
136,41.51,22.53,0
136,43.40,23.67,0
136,45.25,24.79,0
136,47.06,25.90,0
137,48.86,27.01,0
136,50.61,28.10,0
136,52.31,29.18,0
136,53.99,30.25,0
137,55.65,31.32,0
136,57.25,32.36,0
136,58.83,33.40,0
136,60.37,34.43,0
136,61.88,35.44,0
137,63.39,36.46,0
137,64.86,37.46,0
136,66.28,38.45,0
136,67.68,39.42,0
135,69.02,40.38,0
136,70.36,41.34,0
136,71.68,42.28,0
138,73.00,43.24,0
136,74.26,44.17,0
136,75.50,45.09,0
136,76.71,46.00,0
137,77.91,46.91,0
137,79.09,47.81,0
136,80.23,48.69,0
136,81.35,49.56,0
137,82.46,50.44,0
136,83.53,51.29,0
137,84.60,52.15,0
136,85.63,52.99,0
137,86.66,53.83,0
137,87.66,54.66,0
137,88.65,55.48,0
136,89.60,56.29,0
136,90.53,57.08,0
136,91.43,57.87,0
136,92.33,58.65,0
136,93.20,59.43,0
137,94.08,60.20,0
136,94.91,60.96,0
136,95.74,61.71,0
137,96.56,62.47,0
136,97.35,63.20,0
136,98.12,63.93,0
137,98.90,64.66,0
136,99.64,65.37,0
136,100.37,66.08,0
136,101.08,66.78,0
136,101.78,67.47,0
136,102.46,68.16,0
137,103.16,68.84,0
136,103.81,69.52,0
136,104.46,70.18,0
136,105.09,70.84,0
137,105.73,71.50,0
136,106.33,72.15,0
137,106.94,72.79,0
136,107.53,73.43,0
136,108.09,74.05,0
136,108.65,74.67,0
137,109.22,75.29,0
136,109.76,75.90,0
136,110.28,76.50,0
136,110.79,77.10,0
137,111.32,77.70,0
136,111.81,78.28,0
137,112.32,78.87,0
136,112.79,79.44,0
136,113.25,80.00,0
136,113.71,80.56,0
136,114.15,81.12,0
136,114.59,81.67,0
136,115.02,82.21,0
136,115.44,82.75,0
136,115.85,83.28,0
136,116.25,83.81,0
136,116.65,84.33,0
136,117.04,84.85,0
136,117.41,85.36,0
135,117.77,85.85,0
137,118.15,86.37,0
136,118.51,86.86,0
136,118.86,87.35,0
136,119.20,87.84,0
136,119.54,88.32,0
136,119.87,88.80,0
136,120.19,89.27,0
136,120.51,89.74,0
136,120.81,90.20,0
136,121.12,90.66,0
136,121.42,91.11,0
136,121.71,91.56,0
137,122.01,92.02,0
136,122.29,92.46,0
136,122.57,92.89,0
136,122.84,93.32,0
140,123.18,93.79,0
136,123.44,94.21,0
136,123.69,94.63,0
135,123.91,95.03,0
136,124.16,95.44,0
136,124.39,95.85,0
136,124.62,96.25,0
136,124.85,96.65,0
137,125.09,97.05,0
136,125.31,97.44,0
136,125.53,97.83,0
136,125.74,98.21,0
134,125.90,98.56,0
136,126.10,98.94,0
137,126.32,99.32,0
136,126.51,99.69,0
136,126.70,100.05,0
136,126.89,100.41,0
136,127.07,100.77,0
136,127.25,101.12,0
137,127.45,101.48,0
136,127.62,101.82,0
137,127.80,102.17,0
136,127.97,102.51,0
136,128.13,102.85,0
