Biceps D- Middle of muscle belly (Woensel W. van) + neutro no pulso - 19/03/2024 - teste1 - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
155,3.10,1.55,0
152,6.08,3.05,0
152,9.00,4.54,0
152,11.86,6.02,0
151,14.64,7.47,0
155,17.45,8.94,0
154,20.18,10.39,0
153,22.83,11.82,0
153,25.44,13.23,0
155,28.03,14.65,0
153,30.53,16.03,0
153,32.98,17.40,0
153,35.38,18.76,0
152,37.71,20.09,0
156,40.08,21.45,0
153,42.33,22.77,0
153,44.55,24.07,0
152,46.70,25.35,0
156,48.88,26.65,0
153,50.97,27.92,0
152,52.99,29.16,0
152,54.97,30.39,0
156,56.99,31.64,0
153,58.91,32.86,0
152,60.77,34.05,0
151,62.57,35.22,0
152,64.36,36.39,0
155,66.18,37.57,0
153,67.91,38.73,0
152,69.59,39.86,0
151,71.22,40.97,0
156,72.92,42.12,0
153,74.52,43.23,0
152,76.07,44.32,0
151,77.57,45.38,0
156,79.14,46.49,0
154,80.63,47.56,0
153,82.08,48.62,0
153,83.50,49.66,0
151,84.85,50.68,0
154,86.23,51.71,0
152,87.55,52.71,0
152,88.84,53.71,0
151,90.08,54.68,0
156,91.40,55.69,0
153,92.63,56.66,0
153,93.84,57.63,0
152,95.00,58.57,0
155,96.20,59.54,0
153,97.34,60.47,0
153,98.45,61.40,0
157,99.62,62.35,0
156,100.75,63.29,0
152,101.77,64.18,0
152,102.78,65.05,0
150,103.72,65.90,0
153,104.71,66.77,0
154,105.69,67.65,0
152,106.62,68.49,0
152,107.53,69.33,0
151,108.40,70.14,0
154,109.31,70.98,0
152,110.16,71.79,0
151,110.98,72.58,0
150,111.76,73.36,0
