Biceps D- Middle of muscle belly (Woensel W. van) + neutro no pulso - 19/03/2024 - teste2(Nicolle) - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
101,2.02,1.01,0
101,4.00,2.01,0
102,5.96,3.01,0
103,7.90,4.01,0
102,9.78,4.99,0
101,11.61,5.95,0
101,13.39,6.90,0
102,15.17,7.85,0
101,16.88,8.78,0
102,18.59,9.71,0
101,20.23,10.63,0
102,21.87,11.54,0
101,23.45,12.44,0
102,25.02,13.33,0
101,26.54,14.21,0
101,28.03,15.08,0
101,29.49,15.94,0
101,30.92,16.79,0
103,32.36,17.65,0
102,33.76,18.49,0
102,35.12,19.33,0
101,36.44,20.14,0
102,37.75,20.96,0
103,39.05,21.78,0
104,40.35,22.60,0
100,41.55,23.38,0
101,42.74,24.15,0
101,43.90,24.92,0
103,45.08,25.70,0
102,46.22,26.47,0
103,47.36,27.23,0
102,48.45,27.98,0
103,49.54,28.73,0
103,50.61,29.47,0
103,51.66,30.21,0
103,52.68,30.94,0
103,53.69,31.66,0
104,54.70,32.38,0
103,55.66,33.09,0
103,56.61,33.79,0
103,57.54,34.48,0
103,58.45,35.16,0
102,59.32,35.83,0
103,60.19,36.50,0
103,61.05,37.17,0
103,61.89,37.83,0
102,62.69,38.47,0
103,63.50,39.11,0
103,64.29,39.75,0
103,65.06,40.38,0
103,65.82,41.01,0
103,66.56,41.63,0
103,67.29,42.24,0
103,68.00,42.85,0
103,68.70,43.45,0
103,69.39,44.05,0
103,70.06,44.64,0
103,70.72,45.22,0
103,71.37,45.80,0
103,72.00,46.37,0
103,72.62,46.94,0
102,73.21,47.49,0
103,73.80,48.04,0
101,74.35,48.57,0
103,74.92,49.12,0
103,75.48,49.66,0
103,76.03,50.19,0
103,76.57,50.72,0
103,77.10,51.24,0
105,77.66,51.78,0
104,78.18,52.30,0
103,78.68,52.81,0
103,79.17,53.31,0
103,79.64,53.81,0
103,80.11,54.30,0
102,80.55,54.78,0
103,81.00,55.26,0
103,81.44,55.74,0
103,81.87,56.21,0
102,82.27,56.67,0
103,82.69,57.13,0
104,83.11,57.60,0
103,83.51,58.05,0
103,83.90,58.50,0
103,84.28,58.95,0
103,84.66,59.39,0
104,85.04,59.83,0
103,85.40,60.26,0
104,85.77,60.70,0
103,86.12,61.12,0
103,86.46,61.54,0
104,86.81,61.97,0
103,87.13,62.38,0
104,87.47,62.79,0
104,87.80,63.21,0
103,88.10,63.60,0
103,88.40,64.00,0
103,88.69,64.39,0
103,88.98,64.77,0
103,89.26,65.16,0
103,89.53,65.54,0
103,89.80,65.91,0
103,90.07,66.28,0
104,90.35,66.66,0
103,90.60,67.02,0
104,90.87,67.39,0
103,91.11,67.75,0
103,91.35,68.10,0
103,91.58,68.45,0
103,91.81,68.79,0
103,92.03,69.14,0
104,92.27,69.49,0
103,92.49,69.82,0
103,92.70,70.15,0
103,92.90,70.48,0
103,93.11,70.81,0
103,93.30,71.13,0
103,93.50,71.45,0
104,93.71,71.77,0
103,93.89,72.08,0
103,94.08,72.39,0
103,94.25,72.70,0
103,94.43,73.00,0
104,94.62,73.31,0
103,94.79,73.61,0
103,94.95,73.90,0
104,95.13,74.20,0
105,95.33,74.51,0
103,95.48,74.80,0
101,95.59,75.06,0
103,95.74,75.34,0
103,95.89,75.62,0
103,96.03,75.89,0
103,96.17,76.16,0
106,96.37,76.46,0
103,96.50,76.72,0
103,96.63,76.99,0
103,96.76,77.25,0
103,96.88,77.50,0
100,96.94,77.73,0
103,97.06,77.98,0
103,97.18,78.23,0
103,97.30,78.48,0
103,97.41,78.73,0
103,97.52,78.97,0
103,97.63,79.21,0
103,97.74,79.45,0
103,97.85,79.68,0
105,97.99,79.93,0
105,98.13,80.19,0
105,98.27,80.43,0
105,98.40,80.68,0
103,98.49,80.90,0
103,98.58,81.12,0
103,98.67,81.34,0
103,98.76,81.56,0
103,98.84,81.77,0
104,98.95,82.00,0
103,99.03,82.21,0
103,99.11,82.41,0
104,99.21,82.63,0
103,99.28,82.83,0
103,99.36,83.03,0
103,99.43,83.23,0
103,99.50,83.43,0
104,99.59,83.64,0
104,99.68,83.84,0
104,99.76,84.04,0
104,99.85,84.24,0
102,99.89,84.42,0
103,99.95,84.61,0
103,100.02,84.79,0
103,100.08,84.97,0
103,100.13,85.15,0
103,100.19,85.33,0
103,100.25,85.51,0
103,100.30,85.68,0
102,100.34,85.85,0
104,100.41,86.03,0
102,100.44,86.19,0
105,100.53,86.37,0
104,100.60,86.55,0
104,100.67,86.73,0
103,100.72,86.89,0
104,100.78,87.06,0
104,100.85,87.23,0
104,100.91,87.40,0
103,100.95,87.55,0
103,100.99,87.71,0
103,101.03,87.86,0
103,101.07,88.01,0
103,101.11,88.16,0
104,101.17,88.32,0
104,101.22,88.48,0
103,101.26,88.62,0
104,101.32,88.78,0
106,101.41,88.95,0
104,101.46,89.10,0
104,101.51,89.25,0
104,101.56,89.39,0
104,101.61,89.54,0
104,101.66,89.69,0
103,101.68,89.82,0
104,101.73,89.96,0
104,101.78,90.10,0
104,101.82,90.24,0
104,101.86,90.38,0
104,101.91,90.51,0
103,101.93,90.64,0
104,101.97,90.77,0
104,102.01,90.90,0
104,102.05,91.04,0
103,102.07,91.16,0
104,102.11,91.28,0
103,102.13,91.40,0
103,102.14,91.52,0
103,102.16,91.63,0
103,102.18,91.75,0
104,102.21,91.87,0
103,102.23,91.98,0
104,102.27,92.10,0
104,102.30,92.22,0
103,102.31,92.33,0
105,102.37,92.45,0
104,102.40,92.57,0
103,102.41,92.67,0
104,102.44,92.79,0
104,102.48,92.90,0
104,102.51,93.01,0
103,102.52,93.11,0
104,102.55,93.22,0
103,102.55,93.32,0
103,102.56,93.41,0
104,102.59,93.52,0
103,102.60,93.61,0
102,102.59,93.70,0
105,102.64,93.81,0
106,102.70,93.93,0
104,102.73,94.03,0
104,102.75,94.13,0
104,102.78,94.23,0
103,102.78,94.32,0
104,102.81,94.42,0
103,102.81,94.50,0
104,102.84,94.60,0
103,102.84,94.68,0
103,102.84,94.76,0
102,102.83,94.84,0
104,102.85,94.93,0
103,102.85,95.01,0
103,102.86,95.09,0
102,102.84,95.16,0
104,102.86,95.25,0
104,102.88,95.33,0
105,102.93,95.43,0
104,102.95,95.52,0
104,102.97,95.60,0
104,102.99,95.68,0
104,103.01,95.77,0
104,103.03,95.85,0
104,103.05,95.93,0
104,103.07,96.01,0
103,103.07,96.08,0
102,103.05,96.14,0
104,103.06,96.22,0
104,103.08,96.30,0
104,103.10,96.37,0
104,103.12,96.45,0
104,103.14,96.53,0
103,103.13,96.59,0
103,103.13,96.66,0
103,103.13,96.72,0
103,103.13,96.78,0
103,103.12,96.84,0
104,103.14,96.92,0
102,103.12,96.97,0
105,103.16,97.05,0
102,103.13,97.10,0
103,103.13,97.16,0
102,103.11,97.20,0
103,103.11,97.26,0
103,103.10,97.32,0
103,103.10,97.38,0
102,103.08,97.42,0
103,103.08,97.48,0
100,103.02,97.50,0
104,103.04,97.57,0
102,103.02,97.61,0
104,103.04,97.68,0
103,103.03,97.73,0
103,103.03,97.78,0
102,103.01,97.82,0
105,103.05,97.90,0
104,103.07,97.96,0
104,103.09,98.02,0
104,103.11,98.08,0
