Teste de posicionamento 1(EMG ao centro do bíceps (Vermelho A, Verde B) + Ref no pulso) - 16/04/2024 - teste2 - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
71,1.42,0.71,0
73,2.85,1.43,0
70,4.19,2.12,0
71,5.53,2.81,0
70,6.82,3.48,0
72,8.12,4.16,0
73,9.42,4.85,0
71,10.65,5.51,0
70,11.84,6.16,0
70,13.00,6.80,0
71,14.16,7.44,0
72,15.32,8.09,0
72,16.45,8.72,0
72,17.56,9.36,0
70,18.61,9.96,0
71,19.66,10.57,0
71,20.69,11.18,0
72,21.71,11.79,0
71,22.70,12.38,0
70,23.65,12.95,0
71,24.59,13.54,0
70,25.50,14.10,0
71,26.41,14.67,0
71,27.30,15.23,0
72,28.20,15.80,0
71,29.05,16.35,0
73,29.93,16.92,0
72,30.77,17.47,0
70,31.56,17.99,0
71,32.35,18.52,0
71,33.12,19.05,0
69,33.84,19.55,0
70,34.56,20.05,0
71,35.29,20.56,0
70,35.98,21.06,0
69,36.64,21.54,0
70,37.31,22.02,0
70,37.96,22.50,0
72,38.65,23.00,0
70,39.27,23.47,0
70,39.89,23.93,0
70,40.49,24.39,0
74,41.16,24.89,0
70,41.74,25.34,0
70,42.30,25.79,0
70,42.86,26.23,0
69,43.38,26.66,0
69,43.89,27.08,0
70,44.41,27.51,0
70,44.92,27.93,0
73,45.49,28.38,0
71,46.00,28.81,0
70,46.48,29.22,0
70,46.95,29.63,0
71,47.43,30.04,0
69,47.86,30.43,0
70,48.30,30.83,0
70,48.74,31.22,0
69,49.14,31.60,0
70,49.56,31.98,0
70,49.97,32.36,0
69,50.35,32.73,0
69,50.72,33.09,0
70,51.11,33.46,0
70,51.48,33.83,0
70,51.85,34.19,0
69,52.20,34.54,0
70,52.55,34.89,0
70,52.90,35.24,0
70,53.24,35.59,0
69,53.56,35.92,0
70,53.89,36.26,0
70,54.21,36.60,0
70,54.53,36.94,0
69,54.82,37.26,0
70,55.12,37.58,0
70,55.42,37.91,0
70,55.71,38.23,0
70,55.99,38.55,0
70,56.28,38.86,0
69,56.53,39.16,0
70,56.80,39.47,0
70,57.06,39.78,0
70,57.32,40.08,0
70,57.58,40.38,0
70,57.82,40.67,0
70,58.07,40.97,0
70,58.31,41.26,0
71,58.56,41.55,0
69,58.77,41.83,0
70,58.99,42.11,0
70,59.21,42.39,0
70,59.43,42.67,0
69,59.62,42.93,0
70,59.83,43.20,0
70,60.03,43.47,0
69,60.21,43.72,0
70,60.41,43.99,0
70,60.60,44.25,0
70,60.79,44.50,0
68,60.93,44.74,0
70,61.11,44.99,0
70,61.29,45.24,0
70,61.46,45.49,0
70,61.63,45.73,0
69,61.78,45.97,0
70,61.95,46.21,0
71,62.13,46.45,0
69,62.27,46.68,0
70,62.42,46.91,0
70,62.57,47.14,0
70,62.72,47.37,0
70,62.87,47.60,0
69,62.99,47.81,0
70,63.13,48.04,0
69,63.25,48.24,0
69,63.36,48.45,0
70,63.49,48.67,0
68,63.58,48.86,0
69,63.69,49.06,0
69,63.80,49.26,0
69,63.90,49.46,0
70,64.02,49.66,0
70,64.14,49.87,0
69,64.24,50.06,0
69,64.34,50.25,0
70,64.45,50.45,0
69,64.54,50.63,0
69,64.63,50.82,0
70,64.74,51.01,0
69,64.82,51.19,0
69,64.91,51.37,0
69,64.99,51.54,0
70,65.09,51.73,0
69,65.17,51.90,0
69,65.24,52.07,0
69,65.32,52.24,0
69,65.39,52.41,0
69,65.46,52.57,0
69,65.53,52.74,0
68,65.58,52.89,0
68,65.63,53.04,0
69,65.70,53.20,0
69,65.77,53.36,0
70,65.85,53.52,0
70,65.93,53.69,0
69,65.99,53.84,0
70,66.07,54.00,0
