Teste de posicionamento 2(EMG ao centro do bíceps (Vermelho A, Verde B) + Ref no cotovelo) - 16/04/2024 - teste1 - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
112,2.24,1.12,0
111,4.42,2.22,0
112,6.57,3.32,0
112,8.68,4.40,0
111,10.72,5.47,0
111,12.73,6.52,0
112,14.71,7.58,0
110,16.62,8.60,0
111,18.51,9.63,0
112,20.38,10.65,0
113,22.23,11.67,0
111,24.00,12.67,0
111,25.74,13.65,0
111,27.45,14.62,0
115,29.20,15.63,0
112,30.86,16.59,0
112,32.48,17.55,0
111,34.05,18.48,0
111,35.59,19.41,0
110,37.08,20.31,0
111,38.56,21.22,0
111,40.00,22.12,0
111,41.42,23.01,0
112,42.84,23.90,0
111,44.20,24.77,0
111,45.53,25.63,0
112,46.86,26.49,0
109,48.11,27.32,0
111,49.36,28.15,0
111,50.60,28.98,0
109,51.77,29.78,0
109,52.91,30.58,0
115,54.15,31.42,0
113,55.33,32.24,0
110,56.42,33.01,0
111,57.51,33.79,0
111,58.58,34.56,0
109,59.59,35.31,0
110,60.60,36.06,0
111,61.61,36.81,0
113,62.64,37.57,0
112,63.62,38.31,0
111,64.57,39.04,0
111,65.50,39.76,0
110,66.39,40.46,0
112,67.30,41.18,0
109,68.14,41.85,0
110,68.97,42.54,0
111,69.81,43.22,0
112,70.66,43.91,0
111,71.46,44.58,0
109,72.21,45.22,0
113,73.03,45.90,0
111,73.79,46.55,0
112,74.55,47.21,0
109,75.24,47.82,0
110,75.94,48.45,0
110,76.62,49.06,0
111,77.31,49.68,0
111,77.98,50.29,0
110,78.62,50.89,0
109,79.23,51.47,0
112,79.88,52.08,0
110,80.49,52.66,0
109,81.06,53.22,0
111,81.66,53.80,0
111,82.24,54.37,0
110,82.80,54.93,0
109,83.32,55.47,0
109,83.84,56.00,0
111,84.38,56.55,0
111,84.91,57.10,0
111,85.43,57.64,0
109,85.90,58.15,0
109,86.37,58.66,0
115,86.94,59.22,0
111,87.42,59.74,0
110,87.87,60.24,0
109,88.29,60.73,0
113,88.79,61.25,0
112,89.25,61.76,0
110,89.67,62.24,0
110,90.07,62.72,0
111,90.49,63.20,0
109,90.86,63.66,0
113,91.31,64.15,0
109,91.66,64.60,0
109,92.01,65.05,0
111,92.39,65.51,0
109,92.72,65.94,0
110,93.06,66.38,0
111,93.42,66.83,0
111,93.77,67.27,0
109,94.08,67.69,0
109,94.38,68.10,0
108,94.65,68.50,0
111,94.98,68.92,0
110,95.28,69.33,0
109,95.55,69.73,0
110,95.84,70.13,0
111,96.14,70.54,0
111,96.44,70.95,0
109,96.69,71.33,0
111,96.98,71.72,0
111,97.26,72.12,0
111,97.53,72.51,0
110,97.78,72.88,0
110,98.03,73.25,0
110,98.27,73.62,0
109,98.48,73.97,0
110,98.71,74.33,0
111,98.96,74.70,0
110,99.18,75.05,0
113,99.45,75.43,0
111,99.69,75.79,0
111,99.91,76.14,0
111,100.13,76.49,0
110,100.33,76.82,0
111,100.54,77.17,0
110,100.73,77.49,0
110,100.92,77.82,0
111,101.12,78.15,0
111,101.32,78.48,0
113,101.55,78.83,0
111,101.74,79.15,0
111,101.93,79.47,0
112,102.13,79.79,0
111,102.30,80.10,0
110,102.46,80.40,0
110,102.61,80.70,0
111,102.78,81.00,0
110,102.92,81.29,0
110,103.06,81.58,0
112,103.24,81.88,0
112,103.42,82.18,0
112,103.59,82.48,0
110,103.72,82.76,0
109,103.82,83.02,0
111,103.97,83.30,0
110,104.09,83.57,0
109,104.19,83.82,0
110,104.30,84.08,0
110,104.42,84.34,0
110,104.53,84.60,0
110,104.64,84.85,0
110,104.74,85.10,0
110,104.85,85.35,0
111,104.97,85.61,0
110,105.07,85.85,0
112,105.21,86.11,0
110,105.31,86.35,0
114,105.48,86.63,0
110,105.57,86.86,0
112,105.70,87.11,0
112,105.83,87.36,0
110,105.91,87.59,0
110,105.99,87.81,0
110,106.07,88.04,0
111,106.17,88.27,0
114,106.33,88.52,0
110,106.40,88.74,0
112,106.51,88.97,0
110,106.58,89.18,0
111,106.67,89.40,0
110,106.74,89.60,0
111,106.82,89.82,0
110,106.89,90.02,0
111,106.97,90.23,0
111,107.05,90.44,0
110,107.11,90.63,0
111,107.19,90.84,0
112,107.28,91.05,0
110,107.34,91.24,0
110,107.39,91.43,0
110,107.44,91.61,0
112,107.53,91.82,0
110,107.58,92.00,0
109,107.61,92.17,0
110,107.66,92.35,0
113,107.76,92.55,0
111,107.83,92.74,0
110,107.87,92.91,0
110,107.92,93.08,0
111,107.98,93.26,0
110,108.02,93.43,0
110,108.06,93.59,0
110,108.10,93.76,0
111,108.15,93.93,0
110,108.19,94.09,0
110,108.23,94.25,0
111,108.28,94.42,0
112,108.36,94.59,0
110,108.39,94.75,0
111,108.44,94.91,0
110,108.47,95.06,0
112,108.54,95.23,0
111,108.59,95.39,0
110,108.62,95.53,0
110,108.65,95.68,0
112,108.72,95.84,0
111,108.76,95.99,0
110,108.79,96.13,0
110,108.81,96.27,0
111,108.85,96.42,0
110,108.88,96.55,0
110,108.90,96.69,0
110,108.92,96.82,0
111,108.96,96.96,0
110,108.98,97.09,0
111,109.02,97.23,0
110,109.04,97.36,0
109,109.04,97.48,0
110,109.06,97.60,0
110,109.08,97.73,0
110,109.10,97.85,0
110,109.12,97.97,0
110,109.13,98.09,0
112,109.19,98.23,0
110,109.21,98.35,0
109,109.20,98.45,0
110,109.22,98.57,0
111,109.26,98.69,0
111,109.29,98.82,0
111,109.32,98.94,0
112,109.38,99.07,0
113,109.45,99.21,0
109,109.44,99.31,0
110,109.45,99.41,0
112,109.50,99.54,0
111,109.53,99.65,0
111,109.56,99.77,0
111,109.59,99.88,0
112,109.64,100.00,0
111,109.67,100.11,0
111,109.69,100.22,0
110,109.70,100.32,0
113,109.77,100.44,0
111,109.79,100.55,0
111,109.81,100.65,0
111,109.84,100.76,0
111,109.86,100.86,0
111,109.88,100.96,0
111,109.91,101.06,0
111,109.93,101.16,0
111,109.95,101.26,0
111,109.97,101.36,0
111,109.99,101.45,0
115,110.09,101.59,0
111,110.11,101.68,0
111,110.13,101.78,0
110,110.13,101.86,0
112,110.16,101.96,0
111,110.18,102.05,0
110,110.18,102.13,0
110,110.17,102.21,0
112,110.21,102.31,0
111,110.22,102.39,0
111,110.24,102.48,0
110,110.24,102.56,0
111,110.25,102.64,0
111,110.27,102.72,0
110,110.26,102.80,0
111,110.28,102.88,0
112,110.31,102.97,0
111,110.32,103.05,0
109,110.30,103.11,0
110,110.29,103.18,0
111,110.31,103.26,0
110,110.30,103.32,0
109,110.27,103.38,0
110,110.27,103.45,0
113,110.32,103.54,0
112,110.36,103.63,0
111,110.37,103.70,0
111,110.38,103.77,0
112,110.41,103.86,0
110,110.41,103.92,0
109,110.38,103.97,0
109,110.35,104.02,0
111,110.36,104.09,0
109,110.34,104.14,0
110,110.33,104.20,0
112,110.36,104.27,0
111,110.38,104.34,0
110,110.37,104.40,0
111,110.38,104.46,0
116,110.49,104.58,0
111,110.50,104.64,0
109,110.47,104.69,0
109,110.44,104.73,0
111,110.45,104.79,0
109,110.43,104.83,0
109,110.40,104.88,0
109,110.37,104.92,0
111,110.38,104.98,0
110,110.37,105.03,0
111,110.39,105.09,0
109,110.36,105.13,0
111,110.37,105.19,0
109,110.34,105.22,0
110,110.34,105.27,0
109,110.31,105.31,0
113,110.36,105.39,0
111,110.38,105.44,0
111,110.39,105.50,0
109,110.36,105.53,0
112,110.39,105.60,0
110,110.39,105.64,0
109,110.36,105.68,0
110,110.35,105.72,0
111,110.36,105.77,0
110,110.36,105.81,0
109,110.33,105.85,0
109,110.30,105.88,0
110,110.30,105.92,0
