Teste de posicionamento 4(EMG tendao-inervacao (Vermelho A, Verde C) + Ref no cotovelo) - 16/04/2024 - teste1 - 5 contrações
long frequencia = 1000;                 //frequência de aquisição do sinal, neste caso, 1000 sinais por segundo
float fator1 = 0.02, fator2 = 0.01;
float incerteza = 0.13;
float pico_basal = 130; // Mínimo para ser considerado um pico de contração
int filtro_horizontal=200000; //intervalo de 200ms valores não pode ter mais de 1 contração

Biceps_D,mediaMovel_1,mediaMovel_2,Contracao
110,2.20,1.10,0
110,4.36,2.19,0
110,6.47,3.27,0
113,8.60,4.36,0
112,10.67,5.44,0
111,12.67,6.50,0
111,14.64,7.54,0
114,16.63,8.61,0
111,18.52,9.63,0
111,20.37,10.64,0
111,22.18,11.65,0
110,23.93,12.63,0
112,25.70,13.62,0
111,27.40,14.60,0
112,29.09,15.57,0
111,30.73,16.53,0
113,32.38,17.49,0
111,33.95,18.43,0
110,35.47,19.34,0
111,36.98,20.26,0
112,38.48,21.18,0
111,39.93,22.07,0
112,41.37,22.97,0
112,42.79,23.86,0
112,44.17,24.75,0
112,45.53,25.62,0
111,46.84,26.47,0
111,48.12,27.32,0
111,49.38,28.15,0
113,50.65,29.00,0
111,51.86,29.82,0
111,53.04,30.63,0
113,54.24,31.46,0
114,55.43,32.28,0
113,56.59,33.09,0
111,57.67,33.87,0
111,58.74,34.64,0
113,59.83,35.42,0
112,60.87,36.19,0
111,61.87,36.94,0
111,62.85,37.68,0
109,63.78,38.39,0
112,64.74,39.13,0
111,65.67,39.85,0
111,66.57,40.56,0
111,67.46,41.26,0
112,68.35,41.97,0
111,69.21,42.66,0
111,70.04,43.34,0
111,70.86,44.02,0
113,71.70,44.71,0
111,72.49,45.37,0
110,73.24,46.02,0
110,73.97,46.66,0
111,74.72,47.30,0
112,75.46,47.95,0
111,76.17,48.58,0
111,76.87,49.20,0
111,77.55,49.82,0
113,78.26,50.45,0
111,78.91,51.06,0
111,79.56,51.66,0
111,80.19,52.25,0
112,80.82,52.85,0
114,81.49,53.46,0
111,82.08,54.04,0
111,82.65,54.61,0
111,83.22,55.17,0
111,83.78,55.73,0
111,84.32,56.28,0
111,84.85,56.83,0
110,85.36,57.36,0
112,85.89,57.91,0
111,86.39,58.44,0
111,86.88,58.96,0
111,87.37,59.48,0
113,87.88,60.02,0
112,88.36,60.54,0
111,88.81,61.04,0
113,89.30,61.56,0
112,89.75,62.07,0
111,90.18,62.56,0
111,90.59,63.04,0
111,91.00,63.52,0
111,91.40,64.00,0
113,91.83,64.49,0
112,92.24,64.96,0
111,92.61,65.42,0
111,92.98,65.88,0
113,93.38,66.35,0
112,93.75,66.80,0
111,94.10,67.25,0
111,94.44,67.68,0
113,94.81,68.14,0
111,95.13,68.57,0
111,95.45,68.99,0
111,95.76,69.41,0
113,96.10,69.85,0
113,96.44,70.28,0
112,96.75,70.69,0
111,97.04,71.10,0
111,97.32,71.50,0
113,97.63,71.91,0
111,97.90,72.30,0
112,98.18,72.70,0
111,98.44,73.08,0
114,98.75,73.49,0
111,98.99,73.87,0
111,99.23,74.24,0
114,99.53,74.64,0
113,99.80,75.02,0
113,100.06,75.40,0
111,100.28,75.76,0
112,100.52,76.12,0
112,100.75,76.48,0
112,100.97,76.83,0
112,101.19,77.18,0
115,101.47,77.56,0
112,101.68,77.91,0
112,101.88,78.25,0
111,102.07,78.57,0
111,102.25,78.90,0
110,102.40,79.21,0
113,102.61,79.55,0
111,102.78,79.86,0
111,102.94,80.17,0
111,103.11,80.48,0
112,103.28,80.80,0
112,103.46,81.11,0
112,103.63,81.42,0
110,103.76,81.70,0
114,103.96,82.03,0
111,104.10,82.32,0
111,104.24,82.60,0
111,104.37,82.89,0
113,104.55,83.19,0
114,104.74,83.50,0
113,104.90,83.79,0
113,105.06,84.08,0
116,105.28,84.40,0
111,105.40,84.67,0
112,105.53,84.94,0
112,105.66,85.21,0
114,105.83,85.50,0
112,105.95,85.77,0
112,106.07,86.03,0
110,106.15,86.27,0
113,106.29,86.53,0
111,106.38,86.78,0
113,106.51,87.04,0
111,106.60,87.28,0
114,106.75,87.55,0
113,106.87,87.80,0
114,107.02,88.07,0
112,107.12,88.30,0
114,107.25,88.56,0
112,107.35,88.80,0
112,107.44,89.03,0
111,107.51,89.25,0
114,107.64,89.50,0
112,107.73,89.72,0
113,107.84,89.95,0
111,107.90,90.16,0
113,108.00,90.39,0
111,108.06,90.60,0
112,108.14,90.81,0
113,108.24,91.03,0
112,108.31,91.24,0
113,108.41,91.46,0
112,108.48,91.67,0
111,108.53,91.86,0
112,108.60,92.06,0
113,108.69,92.27,0
112,108.75,92.47,0
112,108.82,92.66,0
112,108.88,92.86,0
112,108.94,93.05,0
113,109.02,93.25,0
111,109.06,93.42,0
112,109.12,93.61,0
114,109.22,93.81,0
112,109.28,94.00,0
111,109.31,94.17,0
112,109.36,94.34,0
111,109.40,94.51,0
112,109.45,94.69,0
112,109.50,94.86,0
112,109.55,95.03,0
112,109.60,95.20,0
114,109.69,95.39,0
111,109.71,95.54,0
112,109.76,95.71,0
113,109.82,95.88,0
114,109.91,96.06,0
112,109.95,96.22,0
112,109.99,96.38,0
113,110.05,96.55,0
113,110.11,96.71,0
111,110.13,96.85,0
112,110.16,97.01,0
114,110.24,97.18,0
112,110.28,97.32,0
